set,number,cardmarket_product_id,match_method,base_name
ASC,141,869752,unique,Hoopa
ASC,142,869753,ordered(2↔2),Fezandipiti ex
ASC,143,869754,unique,Pecharunt
ASC,144,869755,ordered(2↔2),Mawile
ASC,145,869756,unique,Registeel ex
ASC,146,869757,unique,Pawniard
ASC,147,869758,unique,Bisharp
ASC,148,869759,unique,Kingambit
ASC,149,869760,unique,Togedemaru ex
ASC,150,869761,unique,Dratini
ASC,151,869762,unique,Dragonair
ASC,152,869763,ordered(4↔4),Mega Dragonite ex
ASC,153,869764,unique,Rayquaza
ASC,154,869765,unique,N's Reshiram
ASC,155,869766,unique,N's Zekrom
ASC,156,869767,unique,Noibat
ASC,157,869768,unique,Noivern
ASC,158,869769,ordered(2↔2),Dreepy
ASC,159,869770,ordered(2↔2),Drakloak
ASC,160,869771,unique,Dragapult ex
ASC,161,869772,unique,Team Rocket's Meowth
ASC,162,869773,unique,Team Rocket's Kangaskhan ex
ASC,163,869774,unique,Larry's Dunsparce
ASC,164,869775,unique,Larry's Dudunsparce ex
ASC,165,869776,unique,Skitty
ASC,166,869777,unique,Delcatty
ASC,167,869778,unique,Zangoose ex
ASC,168,869779,unique,Larry's Starly
ASC,169,869780,unique,Larry's Staravia
ASC,170,869781,ordered(2↔2),Larry's Staraptor
ASC,171,869782,ordered(2↔2),Fan Rotom
ASC,172,869783,ordered(2↔2),Mega Audino ex
ASC,173,869784,unique,Larry's Rufflet
ASC,174,869785,unique,Larry's Braviary
ASC,175,869786,unique,Larry's Komala
ASC,176,869787,unique,Drampa
ASC,177,869788,unique,Hop's Cramorant
ASC,178,869789,unique,Terapagos
ASC,179,869790,unique,Terapagos ex
ASC,180,869791,unique,Acerola's Mischief
ASC,181,869792,unique,Air Balloon
ASC,182,869793,ordered(2↔2),Anthea & Concordia
ASC,183,869794,ordered(2↔2),Boss's Orders
ASC,184,869795,unique,Buddy-Buddy Poffin
ASC,185,869796,ordered(3↔3),Canari
ASC,186,869797,ordered(2↔2),Counter Gain
ASC,187,869798,unique,Fighting Gong
ASC,188,869799,unique,Forest of Vitality
ASC,189,869800,ordered(2↔2),Glass Trumpet
ASC,190,869801,ordered(2↔2),Iris's Fighting Spirit
ASC,191,869802,unique,Light Ball
ASC,192,869803,unique,Lillie's Determination
ASC,193,869804,unique,Mega Signal
ASC,194,869805,unique,Mystery Garden
ASC,195,869806,ordered(2↔2),N's PP Up
ASC,196,869807,unique,Night Stretcher
ASC,198,869809,unique,Poké Pad
ASC,199,869810,unique,Premium Power Pro
ASC,200,869811,ordered(2↔2),Surfer
ASC,201,869812,unique,Team Rocket's Archer
ASC,202,869813,unique,Team Rocket's Ariana
ASC,203,869814,unique,Team Rocket's Factory
ASC,204,869815,unique,Team Rocket's Giovanni
ASC,205,869816,unique,Team Rocket's Great Ball
ASC,207,869818,unique,Team Rocket's Petrel
ASC,208,869819,unique,Team Rocket's Proton
ASC,209,869820,ordered(2↔2),Team Rocket's Transceiver
ASC,210,869821,unique,Team Rocket's Watchtower
ASC,212,869823,unique,Tool Scrapper
ASC,213,869824,ordered(2↔2),Ultra Ball
ASC,214,869825,unique,Urbain
ASC,215,869826,unique,Waitress
ASC,216,869827,unique,Prism Energy
ASC,217,869828,unique,Team Rocket's Energy
ASC,218,869829,ordered(2↔2),Erika's Tangela
ASC,219,869830,ordered(2↔2),Beautifly
ASC,220,869831,ordered(2↔2),Dustox
ASC,221,869832,ordered(2↔2),Budew
ASC,222,869833,ordered(2↔2),Ethan's Magcargo
ASC,223,869834,ordered(2↔2),Numel
ASC,224,869835,ordered(2↔2),Salazzle
ASC,225,869836,ordered(2↔2),Scorbunny
ASC,226,869837,ordered(2↔2),Psyduck
ASC,227,869838,ordered(2↔2),Snorunt
ASC,228,869839,ordered(2↔2),Weavile
ASC,229,869840,ordered(2↔2),Heliolisk
ASC,230,869841,ordered(2↔2),Vikavolt
ASC,231,869842,ordered(2↔2),Iono's Wattrel
ASC,232,869843,ordered(2↔2),Marill
ASC,233,869844,ordered(2↔2),Misdreavus
ASC,234,869845,ordered(2↔2),Banette
ASC,235,869846,ordered(2↔2),Togekiss
ASC,236,869847,ordered(2↔2),Slurpuff
ASC,237,869848,ordered(2↔2),Hop's Trevenant
ASC,238,869849,ordered(2↔2),Team Rocket's Mimikyu
ASC,239,869850,ordered(2↔2),Team Rocket's Dugtrio
ASC,240,869851,ordered(2↔2),Hitmontop
ASC,241,869852,ordered(2↔2),Medicham
ASC,242,869853,ordered(2↔2),Carbink
ASC,243,869854,ordered(2↔2),Mightyena
ASC,244,869855,ordered(2↔2),Cynthia's Spiritomb
ASC,245,869856,ordered(2↔2),Galarian Obstagoon
ASC,246,869857,ordered(2↔2),Mawile
ASC,247,869858,ordered(2↔2),Dreepy
ASC,248,869859,ordered(2↔2),Drakloak
ASC,249,869860,ordered(2↔2),Larry's Staraptor
ASC,250,869861,ordered(2↔2),Fan Rotom
ASC,251,869862,unique,Sprigatito ex
ASC,252,869863,ordered(2↔2),Stunfisk ex
ASC,253,869864,ordered(2↔2),Mega Audino ex
ASC,254,869865,ordered(2↔2),Anthea & Concordia
ASC,255,869867,unique,Black Belt's Training
ASC,256,869866,ordered(2↔2),Boss's Orders
ASC,257,869868,ordered(3↔3),Canari
ASC,258,869869,unique,Cheren
ASC,259,869870,ordered(2↔2),Counter Gain
ASC,260,869871,ordered(2↔2),Glass Trumpet
ASC,261,869872,unique,Jamming Tower
ASC,262,869873,ordered(2↔2),N's PP Up
ASC,263,869874,ordered(2↔2),Team Rocket's Transceiver
ASC,264,869875,ordered(2↔2),Ultra Ball
ASC,265,869876,ordered(3↔3),Mega Froslass ex
ASC,266,869877,ordered(3↔3),Mega Eelektross ex
ASC,267,869878,ordered(2↔2),Mega Diancie ex
ASC,268,869879,ordered(3↔3),Mega Hawlucha ex
ASC,269,869880,ordered(3↔3),Mega Gengar ex
ASC,270,869881,ordered(3↔3),Mega Scrafty ex
ASC,271,869882,ordered(4↔4),Mega Dragonite ex
ASC,272,869883,ordered(2↔2),Mega Meganium ex
ASC,273,869884,ordered(2↔2),Mega Emboar ex
ASC,274,869885,ordered(2↔2),Mega Feraligatr ex
ASC,275,869886,ordered(3↔3),Mega Froslass ex
ASC,276,869887,ordered(3↔3),Pikachu ex
ASC,277,869888,ordered(3↔3),Pikachu ex
ASC,278,869889,ordered(3↔3),Mega Eelektross ex
ASC,279,869890,ordered(2↔2),Iono's Bellibolt ex
ASC,280,869891,ordered(2↔2),Lillie's Clefairy ex
ASC,281,869892,ordered(2↔2),Team Rocket's Mewtwo ex
ASC,282,869893,ordered(2↔2),Mega Diancie ex
ASC,283,869894,ordered(3↔3),Mega Hawlucha ex
ASC,284,869895,ordered(3↔3),Mega Gengar ex
ASC,285,869896,ordered(3↔3),Mega Scrafty ex
ASC,286,869897,ordered(2↔2),N's Zoroark ex
ASC,287,869898,unique,Marnie's Grimmsnarl ex
ASC,288,869899,ordered(2↔2),Fezandipiti ex
ASC,289,869900,unique,Steven's Metagross ex
ASC,290,869901,ordered(4↔4),Mega Dragonite ex
ASC,291,869903,ordered(3↔3),Canari
ASC,292,869902,ordered(2↔2),Iris's Fighting Spirit
ASC,293,869904,ordered(2↔2),Surfer
ASC,294,869905,ordered(2↔2),Mega Charizard Y ex
ASC,295,869906,ordered(4↔4),Mega Dragonite ex
ASR,1,658485,ordered(3↔3),Beedrill V
ASR,2,658487,ordered(1↔2),Hisuian Voltorb
ASR,3,658489,unique,Hisuian Electrode
ASR,4,658491,ordered(2↔2),Scyther
ASR,5,658493,ordered(2↔2),Scyther
ASR,6,658494,unique,Yanma
ASR,7,658498,unique,Yanmega
ASR,8,658499,unique,Heracross
ASR,9,658500,unique,Kricketot
ASR,10,658502,unique,Kricketune
ASR,11,658503,unique,Combee
ASR,12,658504,unique,Vespiquen
ASR,13,658506,unique,Leafeon
ASR,14,658507,unique,Shaymin
ASR,15,658509,unique,Petilil
ASR,16,658510,unique,Hisuian Lilligant
ASR,17,658511,ordered(3↔3),Hisuian Lilligant V
ASR,18,658514,ordered(2↔2),Hisuian Lilligant VSTAR
ASR,19,658516,unique,Rowlet
ASR,20,658517,unique,Dartrix
ASR,21,658519,unique,Ponyta
ASR,22,658521,unique,Rapidash
ASR,23,658523,unique,Cyndaquil
ASR,24,658526,unique,Quilava
ASR,25,658528,ordered(2↔2),Heatran V
ASR,26,658529,ordered(2↔2),Heatran VMAX
ASR,27,658531,unique,Radiant Heatran
ASR,28,658533,unique,Psyduck
ASR,29,658534,unique,Golduck
ASR,30,658536,ordered(3↔3),Starmie V
ASR,31,658538,unique,Swinub
ASR,32,658540,unique,Piloswine
ASR,33,658541,unique,Mamoswine
ASR,34,658542,unique,Mantine
ASR,35,658543,unique,Barboach
ASR,36,658544,unique,Whiscash
ASR,37,658545,unique,Regice
ASR,38,658546,unique,Glaceon
ASR,39,658551,ordered(2↔2),Origin Forme Palkia V
ASR,40,658560,ordered(3↔3),Origin Forme Palkia VSTAR
ASR,41,658578,unique,Oshawott
ASR,42,658580,unique,Dewott
ASR,43,658582,unique,Hisuian Basculin
ASR,44,658583,unique,Hisuian Basculegion
ASR,45,658584,ordered(1↔3),Keldeo
ASR,46,658586,unique,Radiant Greninja
ASR,47,658588,unique,Bergmite
ASR,48,658589,unique,Hisuian Avalugg
ASR,49,658590,unique,Galarian Mr. Rime V
ASR,50,658597,ordered(2↔2),Luxray V
ASR,51,658600,unique,Regieleki
ASR,52,658603,ordered(1↔2),Hisuian Typhlosion
ASR,53,658612,ordered(2↔2),Hisuian Typhlosion V
ASR,54,658615,ordered(2↔2),Hisuian Typhlosion VSTAR
ASR,55,658617,unique,Togepi
ASR,56,658621,unique,Togetic
ASR,57,658623,unique,Togekiss
ASR,58,658625,unique,Misdreavus
ASR,59,658627,unique,Mismagius
ASR,60,658630,unique,Ralts
ASR,61,658634,unique,Kirlia
ASR,62,658636,unique,Gallade
ASR,63,658637,unique,Drifloon
ASR,64,658639,unique,Drifblim
ASR,65,658641,unique,Uxie
ASR,66,658643,unique,Mesprit
ASR,67,658645,unique,Azelf
ASR,68,658647,unique,Diancie
ASR,69,658651,ordered(2↔3),Wyrdeer
ASR,70,658659,ordered(1↔2),Hisuian Growlithe
ASR,71,658660,unique,Hisuian Arcanine
ASR,72,658662,ordered(3↔3),Machamp V
ASR,73,658665,ordered(2↔2),Machamp VMAX
ASR,74,658669,unique,Sudowoodo
ASR,75,658671,unique,Regirock
ASR,76,658674,unique,Cranidos
ASR,77,658675,unique,Rampardos
ASR,78,658683,unique,Lucario V
ASR,79,658686,unique,Hippopotas
ASR,80,658688,unique,Hippowdon
ASR,81,658690,unique,Radiant Hawlucha
ASR,82,658692,unique,Hisuian Decidueye
ASR,83,658694,ordered(2↔2),Hisuian Decidueye V
ASR,84,658696,ordered(2↔3),Hisuian Decidueye VSTAR
ASR,85,658702,ordered(3↔3),Kleavor
ASR,86,658703,ordered(3↔3),Kleavor
ASR,87,658707,unique,Kleavor V
ASR,88,658709,ordered(2↔2),Hisuian Qwilfish
ASR,89,658710,ordered(2↔2),Hisuian Qwilfish
ASR,90,658714,ordered(2↔2),Hisuian Overqwil
ASR,91,658718,ordered(2↔2),Hisuian Overqwil
ASR,92,658720,ordered(1↔2),Hisuian Sneasel
ASR,93,658725,unique,Hisuian Sneasler
ASR,94,658732,ordered(3↔3),Hisuian Sneasler V
ASR,95,658738,unique,Poochyena
ASR,96,658740,ordered(2↔2),Mightyena
ASR,97,658743,ordered(1↔3),Absol
ASR,98,658747,unique,Darkrai V
ASR,99,658751,ordered(1↔2),Darkrai VSTAR
ASR,100,658755,ordered(1↔2),Hisuian Samurott
ASR,101,658758,ordered(2↔2),Hisuian Samurott V
ASR,102,658762,ordered(3↔3),Hisuian Samurott VSTAR
ASR,103,658764,unique,Nickit
ASR,104,658765,unique,Thievul
ASR,105,658766,unique,Magnemite
ASR,106,658767,unique,Magneton
ASR,107,658768,ordered(1↔2),Magnezone
ASR,108,658769,unique,Registeel
ASR,109,658770,unique,Shieldon
ASR,110,658771,unique,Bastiodon
ASR,111,658772,unique,Bronzor
ASR,112,658773,ordered(2↔2),Bronzong
ASR,113,658774,ordered(2↔2),Origin Forme Dialga V
ASR,114,658775,ordered(3↔3),Origin Forme Dialga VSTAR
ASR,115,658776,unique,Pawniard
ASR,116,658777,unique,Bisharp
ASR,117,658778,ordered(3↔3),Garchomp V
ASR,118,658779,unique,Regidrago
ASR,119,658780,unique,Eevee
ASR,120,658781,ordered(2↔2),Hoothoot
ASR,121,658782,unique,Noctowl
ASR,122,658783,unique,Teddiursa
ASR,123,658784,unique,Ursaring
ASR,124,658785,unique,Ursaluna
ASR,125,658786,ordered(1↔2),Stantler
ASR,126,658787,unique,Miltank
ASR,127,658788,unique,Glameow
ASR,128,658789,unique,Purugly
ASR,129,658790,unique,Chatot
ASR,130,658791,unique,Regigigas
ASR,131,658792,unique,Rufflet
ASR,132,658793,unique,Hisuian Braviary
ASR,133,658794,ordered(2↔2),Oranguru V
ASR,134,658795,ordered(2↔2),Wyrdeer V
ASR,135,658796,ordered(3↔4),Adaman
ASR,136,658797,unique,Canceling Cologne
ASR,137,658798,ordered(3↔3),Choy
ASR,138,658799,ordered(3↔3),Cyllene
ASR,139,658800,unique,Dark Patch
ASR,140,658801,unique,Energy Loto
ASR,141,658802,unique,Feather Ball
ASR,142,658803,unique,Gapejaw Bog
ASR,143,658804,ordered(3↔3),Gardenia's Vigor
ASR,144,658805,ordered(3↔3),Grant
ASR,145,658806,unique,Gutsy Pickaxe
ASR,146,658807,unique,Hisuian Heavy Ball
ASR,147,658808,ordered(3↔4),Irida
ASR,148,658809,ordered(2↔2),Jubilife Village
ASR,149,658810,ordered(3↔3),Kamado
ASR,150,658811,ordered(3↔4),Roxanne
ASR,151,658812,unique,Spicy Seasoned Curry
ASR,152,658813,unique,Supereffective Glasses
ASR,153,658814,unique,Sweet Honey
ASR,154,658815,unique,Switch Cart
ASR,155,658816,ordered(2↔2),Temple of Sinnoh
ASR,156,658817,ordered(2↔2),Trekking Shoes
ASR,157,658818,unique,Unidentified Fossil
ASR,158,658819,unique,Wait and See Turbo
ASR,159,658820,ordered(3↔3),Zisu
ASR,160,658821,ordered(3↔3),Beedrill V
ASR,161,658822,ordered(3↔3),Beedrill V
ASR,162,658823,ordered(3↔3),Hisuian Lilligant V
ASR,163,658824,ordered(3↔3),Hisuian Lilligant V
ASR,164,658825,unique,Virizion V
ASR,165,658826,ordered(2↔2),Heatran V
ASR,166,658827,ordered(3↔3),Starmie V
ASR,167,658828,ordered(2↔2),Origin Forme Palkia V
ASR,168,658829,ordered(2↔2),Luxray V
ASR,169,658830,ordered(2↔2),Hisuian Typhlosion V
ASR,170,658831,unique,Jirachi V
ASR,171,658832,ordered(3↔3),Machamp V
ASR,172,658833,ordered(3↔3),Machamp V
ASR,173,658834,ordered(2↔2),Hisuian Decidueye V
ASR,174,658835,ordered(3↔3),Hisuian Sneasler V
ASR,175,658836,ordered(3↔3),Hisuian Sneasler V
ASR,176,658837,ordered(2↔2),Hisuian Samurott V
ASR,177,658838,ordered(2↔2),Origin Forme Dialga V
ASR,178,658839,ordered(3↔3),Garchomp V
ASR,179,658840,ordered(2↔2),Oranguru V
ASR,180,658841,ordered(2↔2),Wyrdeer V
ASR,181,658842,ordered(3↔4),Adaman
ASR,182,658843,ordered(3↔3),Choy
ASR,183,658844,ordered(3↔3),Cyllene
ASR,184,658845,ordered(3↔3),Gardenia's Vigor
ASR,185,658846,ordered(3↔3),Grant
ASR,186,658847,ordered(3↔4),Irida
ASR,187,658848,ordered(3↔3),Kamado
ASR,188,658849,ordered(3↔4),Roxanne
ASR,189,658850,ordered(3↔3),Zisu
ASR,190,658851,ordered(2↔2),Hisuian Lilligant VSTAR
ASR,191,658852,ordered(2↔2),Heatran VMAX
ASR,192,658853,ordered(3↔3),Origin Forme Palkia VSTAR
ASR,193,658854,ordered(2↔2),Hisuian Typhlosion VSTAR
ASR,194,658855,ordered(2↔2),Machamp VMAX
ASR,195,658856,ordered(2↔3),Hisuian Decidueye VSTAR
ASR,196,658857,unique,Kleavor VSTAR
ASR,197,658858,ordered(3↔3),Hisuian Samurott VSTAR
ASR,198,658859,ordered(3↔3),Origin Forme Dialga VSTAR
ASR,199,658860,ordered(3↔4),Adaman
ASR,200,658861,ordered(3↔3),Choy
ASR,201,658862,ordered(3↔3),Cyllene
ASR,202,658863,ordered(3↔3),Gardenia's Vigor
ASR,203,658864,ordered(3↔3),Grant
ASR,204,658865,ordered(3↔4),Irida
ASR,205,658866,ordered(3↔3),Kamado
ASR,206,658867,ordered(3↔4),Roxanne
ASR,207,658868,ordered(3↔3),Zisu
ASR,208,658869,ordered(3↔3),Origin Forme Palkia VSTAR
ASR,209,658870,ordered(3↔3),Hisuian Samurott VSTAR
ASR,210,658871,ordered(3↔3),Origin Forme Dialga VSTAR
ASR,211,658872,unique,Choice Belt
ASR,212,658873,ordered(2↔2),Jubilife Village
ASR,213,658874,unique,Path to the Peak
ASR,214,658875,ordered(2↔2),Temple of Sinnoh
ASR,215,658876,ordered(2↔2),Trekking Shoes
ASR,216,658877,unique,Double Turbo Energy
ASR,TG1,658878,unique,Abomasnow
ASR,TG10,658887,unique,Galarian Obstagoon
ASR,TG11,658888,ordered(2↔2),Bronzong
ASR,TG12,658889,ordered(2↔2),Hoothoot
ASR,TG13,658890,ordered(3↔3),Starmie V
ASR,TG14,658891,unique,Ice Rider Calyrex V
ASR,TG15,658892,ordered(2↔2),Ice Rider Calyrex VMAX
ASR,TG16,658893,unique,Galarian Articuno V
ASR,TG17,658894,unique,Shadow Rider Calyrex V
ASR,TG18,658895,ordered(2↔2),Shadow Rider Calyrex VMAX
ASR,TG19,658896,unique,Galarian Zapdos V
ASR,TG2,658879,unique,Flapple
ASR,TG20,658897,unique,Galarian Moltres V
