name_en,name_de,set,number,type,energy_type,hp,rarity,image_url,international_prints,jp_prints,cardmarket_url,card_text,card_text_de
Vivillon,,30C,8,Stage 2,Grass,120,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_008_R_EN_LG.png,30C-8,M6A-5,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Vivillon-30C008?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Guiding Dance || Once during your turn, you may use this Ability. Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. || GC Poison Powder 60 || Your opponent's Active Pokémon is now Poisoned. || Weakness: Fire Resistance: none Retreat: 1","[Ability] Leitender Tanz || Einmal während deines Zuges kannst du diese Fähigkeit einsetzen. Wirf 1 Münze. Durchsuche bei Kopf dein Deck nach 1 Pokémon, zeige es deinem Gegner und nimm es auf deine Hand. Mische anschließend dein Deck. || GC Giftpuder 60 || Das Aktive Pokémon deines Gegners ist jetzt vergiftet."
Vulpix,,30C,9,Basic,Fire,70,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_009_R_EN_LG.png,30C-9,MF-4,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Vulpix-30C009?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"R Wild Kick 30 || Flip a coin. If tails, this attack does nothing. || Weakness: Water Resistance: none Retreat: 1",R Stürmischer Kick 30 || Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen.
Ninetales,,30C,10,Stage 1,Fire,110,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_010_R_EN_LG.png,30C-10,MF-5,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Ninetales-30C010?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,R Flame Tail 60 || Weakness: Water Resistance: none Retreat: 1,R Flammenschweif 60
Moltres,,30C,11,Basic,Fire,120,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_011_R_EN_LG.png,"30C-11,30C-130","M6A-6,MP-149",https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Moltres-V1-30C011?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Fiery Flapping || Once during your turn, if you have Articuno and Zapdos in play, you may use this Ability. Attach a Basic [ R ] Energy card from your hand to this Pokémon. || RRC Fire Spin 130 || Discard 2 Energy from this Pokémon. || Weakness: Water Resistance: none Retreat: 1","[Ability] Feuriges Flattern || Einmal während deines Zuges, wenn du Arktos und Zapdos im Spiel hast, kannst du diese Fähigkeit einsetzen. Lege 1 Basis- [ R ] -Energiekarte aus deiner Hand an dieses Pokémon an. || RRC Feuerwirbel 130 || Lege 2 Energien von diesem Pokémon auf deinen Ablagestapel."
Ho-Oh,,30C,12,Basic,Fire,130,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_012_R_EN_LG.png,30C-12,M6A-7,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Ho-Oh-30C012?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,RR Sacred Breath || Discard all Energy from this Pokémon. Heal all damage from 1 of your Benched Pokémon. || RRR Fire Wing 100 || Weakness: Water Resistance: none Retreat: 2,RR Sancto-Odem || Lege alle Energien von diesem Pokémon auf deinen Ablagestapel. Heile allen Schaden bei 1 Pokémon auf deiner Bank. || RRR Feuerflügel 100
Victini,,30C,13,Basic,Fire,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_013_R_EN_LG.png,30C-13,"MF-41,MF-6",https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Victini-30C013?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Call for Family || Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck. || RC V-Flame 50 || Weakness: Water Resistance: none Retreat: 1",C Familienruf || Durchsuche dein Deck nach bis zu 2 Basis-Pokémon und lege sie auf deine Bank. Mische anschließend dein Deck. || RC V-Flamme 50
Reshiram,,30C,14,Basic,Fire,130,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_014_R_EN_LG.png,30C-14,M6A-8,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Reshiram-30C014?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"RC Slash 50 || RCC Laser Flame 80+ || If this Pokémon has any [ L ] Energy attached, this attack does 80 more damage. || Weakness: Water Resistance: none Retreat: 2","RC Schlitzer 50 || RCC Laserflamme 80+ || Wenn an dieses Pokémon mindestens 1 [ L ] -Energie angelegt ist, fügt diese Attacke 80 Schadenspunkte mehr zu."
Fuecoco ex,,30C,15,Basic,Fire,210,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_015_R_EN_LG.png,"30C-147,30C-15",M6A-9,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Fuecoco-ex-V1-30C015?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,R Singe || Your opponent's Active Pokémon is now Burned. || RRC Cheerful Flame 70× || This attack does 70 damage for each Prize card you have taken. || Weakness: Water Resistance: none Retreat: 2,R Versengung || Das Aktive Pokémon deines Gegners ist jetzt verbrannt. || RRC Fröhliche Flamme 70× || Diese Attacke fügt für jede von dir genommene Preiskarte 70 Schadenspunkte zu.
Slowpoke,,30C,16,Basic,Water,80,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_016_R_EN_LG.png,30C-16,M6A-10,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Slowpoke-30C016?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Well-Hidden || Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon. || WC Water Gun 20 || Weakness: Lightning Resistance: none Retreat: 2","C Gut versteckt || Wirf 1 Münze. Verhindere bei Kopf während des nächsten Zuges deines Gegners allen Schaden durch und alle Effekte von Attacken, die diesem Pokémon zugefügt werden. || WC Aquaknarre 20"
Lapras,,30C,17,Basic,Water,130,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_017_R_EN_LG.png,"30C-131,30C-17",M6A-11,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Lapras-V1-30C017?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Ferry Across || Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck. || WCC Ice Beam 80 || Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. || Weakness: Metal Resistance: none Retreat: 2","C Fährfahrt || Durchsuche dein Deck nach 1 Unterstützerkarte, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck. || WCC Eisstrahl 80 || Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners jetzt paralysiert."
Articuno,,30C,18,Basic,Water,120,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_018_R_EN_LG.png,"30C-132,30C-18","M6A-12,MP-150",https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Articuno-V1-30C018?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Frosty Flapping || Once during your turn, if you have Moltres and Zapdos in play, you may use this Ability. Attach a Basic [ W ] Energy card from your hand to this Pokémon. || WWC Hail || This attack does 30 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) || Weakness: Metal Resistance: none Retreat: 1","[Ability] Frostkaltes Flattern || Einmal während deines Zuges, wenn du Lavados und Zapdos im Spiel hast, kannst du diese Fähigkeit einsetzen. Lege 1 Basis- [ W ] -Energiekarte aus deiner Hand an dieses Pokémon an. || WWC Hagelsturm || Diese Attacke fügt jedem Pokémon deines Gegners 30 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.)"
Kyogre,,30C,19,Basic,Water,140,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_019_R_EN_LG.png,30C-19,M6A-13,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Kyogre-30C019?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,CCCC Hydro Pump 60+ || This attack does 30 more damage for each [ W ] Energy attached to this Pokémon. || Weakness: Lightning Resistance: none Retreat: 4,CCCC Hydropumpe 60+ || Diese Attacke fügt für jede an dieses Pokémon angelegte [ W ] -Energie 30 Schadenspunkte mehr zu.
Palkia,,30C,20,Basic,Water,130,Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_020_R_EN_LG.png,30C-20,M6A-14,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Palkia-30C020?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"WWC Wormhole 100 || Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your oppoennt's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.) || Weakness: Lightning Resistance: none Retreat: 2","WWC Wurmloch 100 || Tausche dieses Pokémon gegen 1 Pokémon auf deiner Bank aus. Wenn du das machst, wechsle das Aktive Pokémon deines Gegners auf seine Bank aus. (Dein Gegner wählt das neue Aktive Pokémon.)"
Greninja ex,,30C,21,Stage 2,Water,300,Double Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_021_R_EN_LG.png,"30C-148,30C-21","M6A-15,MP-151",https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Greninja-ex-V1-30C021?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,W Stealthy Slash || This attack does 30 damage to 1 of your opponent's Pokémon for each damage counter on that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) || WW Aqua Edge 160 || Weakness: Lightning Resistance: none Retreat: 1,W Tarnschlitzer || Diese Attacke fügt 1 Pokémon deines Gegners für jede Schadensmarke auf jenem Pokémon 30 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.) || WW Aquaschneide 160
Wishiwashi,,30C,22,Basic,Water,30,Common,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_022_R_EN_LG.png,30C-22,M6A-16,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Wishiwashi-30C022?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Counterattack Grouping || If your Wishiwashi or Wishiwashi ex is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if your Pokémon is Knocked Out) , place 3 damage counters on the Attacking Pokémon. || W Surprise Attack 30 || Flip a coin. If tails, this attack does nothing. || Weakness: Lightning Resistance: none Retreat: 1","[Ability] Konterschwarm || Wenn dein Lusardin oder Lusardin-ex in der Aktiven Position ist und durch eine Attacke von Pokémon deines Gegners Schaden erhält (auch wenn dein Pokémon dadurch kampfunfähig wird) , lege 3 Schadensmarken auf das Angreifende Pokémon. || W Überraschungsangriff 30 || Wirf 1 Münze. Bei Zahl hat diese Attacke keine Auswirkungen."
Pikachu,Pikachu,30C,23,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_023_R_EN_LG.png,30C-23,M6A-17,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C023?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"LC Thunder Shock 20 || Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed. || Weakness: Fighting Resistance: none Retreat: 1",LC Donnerschock 20 || Wirf 1 Münze. Bei Kopf ist das Aktive Pokémon deines Gegners jetzt paralysiert.
Pikachu,Pikachu,30C,24,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_024_R_EN_LG.png,30C-24,M6A-18,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C024?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,LCC Volt Tackle 80 || This Pokémon also does 30 damage to itself. || Weakness: Fighting Resistance: none Retreat: 1,LCC Volttackle 80 || Dieses Pokémon fügt auch sich selbst 30 Schadenspunkte zu.
Pikachu,Pikachu,30C,25,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_025_R_EN_LG.png,30C-25,M6A-19,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C025?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,LC Spark 20 || This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) || Weakness: Fighting Resistance: none Retreat: 2,LC Funkensprung 20 || Diese Attacke fügt auch 1 Pokémon auf der Bank deines Gegners 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.)
Pikachu,Pikachu,30C,26,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_026_R_EN_LG.png,30C-26,M6A-20,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C026?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Peer At || Your opponent reveals their hand. || Weakness: Fighting Resistance: none Retreat: 2,C Beäugen || Dein Gegner zeigt dir seine Handkarten.
Pikachu,Pikachu,30C,27,Basic,Lightning,80,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_027_R_EN_LG.png,30C-27,M6A-21,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C027?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Nap || Heal 30 damage from this Pokémon. || Weakness: Fighting Resistance: none Retreat: 3,C Nickerchen || Heile 30 Schadenspunkte bei diesem Pokémon.
Pikachu,Pikachu,30C,28,Basic,Lightning,60,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_028_R_EN_LG.png,30C-28,M6A-22,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C028?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Lonely Gaze || As long as this Pokémon is in the Active Spot, attacks used by your opponent's Active Pokémon do 20 less damage (before applying Weakness and Resistance) . || LC Pika Ball 20 || Weakness: Fighting Resistance: none Retreat: 1","[Ability] Einsamer Blick || Solange dieses Pokémon in der Aktiven Position ist, fügen die vom Aktiven Pokémon deines Gegners eingesetzten Attacken 20 Schadenspunkte weniger zu (bevor Schwäche und Resistenz verrechnet werden) . || LC Pikaball 20"
Pikachu,Pikachu,30C,29,Basic,Lightning,60,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_029_R_EN_LG.png,30C-29,M6A-23,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C029?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Find a Friend || Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck. || Weakness: Fighting Resistance: none Retreat: 1","C Freunde finden || Durchsuche dein Deck nach 1 Pokémon, zeige es deinem Gegner und nimm es auf deine Hand. Mische anschließend dein Deck."
Pikachu,Pikachu,30C,30,Basic,Lightning,60,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_030_R_EN_LG.png,30C-30,M6A-24,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C030?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,L Mach Bolt 30 || Weakness: Fighting Resistance: none Retreat: 1,L Flotter Sprung 30
Pikachu,Pikachu,30C,31,Basic,Lightning,50,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_031_R_EN_LG.png,30C-31,M6A-25,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C031?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Gnaw 10 || Weakness: Fighting Resistance: none Retreat: 0,C Nagen 10
Pikachu,Pikachu,30C,32,Basic,Lightning,50,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_032_R_EN_LG.png,30C-32,M6A-26,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C032?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Scurry About || Switch this Pokémon with 1 of your Benched Pokémon. || Weakness: Fighting Resistance: none Retreat: 1,C Herumwuseln || Tausche dieses Pokémon gegen 1 Pokémon auf deiner Bank aus.
Pikachu,Pikachu,30C,33,Basic,Lightning,60,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_033_R_EN_LG.png,30C-33,M6A-27,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C033?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"[Ability] Keep Hidden || As long as this Pokémon is on your Bench, prevent all damage from and effects of attacks from your opponent's Pokémon done to this Pokémon. || L Tiny Charge 10 || Weakness: Fighting Resistance: none Retreat: 1","[Ability] Versteckt halten || Solange dieses Pokémon auf deiner Bank ist, verhindere allen Schaden durch und alle Effekte von Attacken von Pokémon deines Gegners, die diesem Pokémon zugefügt werden. || L Mini-Stromstoß 10"
Pikachu,Pikachu,30C,34,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_034_R_EN_LG.png,30C-34,M6A-28,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C034?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,LLL Pika Chain 40× || This attack does 40 damage for each of your Pikachu and Pikachu ex in play. || Weakness: Fighting Resistance: none Retreat: 2,LLL Pikakette 40× || Diese Attacke fügt für jedes deiner Pikachu und Pikachu-ex im Spiel 40 Schadenspunkte zu.
Pikachu,Pikachu,30C,35,Basic,Lightning,60,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_035_R_EN_LG.png,30C-35,M6A-29,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C035?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,CC Rollout 30 || Weakness: Fighting Resistance: none Retreat: 1,CC Walzer 30
Pikachu,Pikachu,30C,36,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_036_R_EN_LG.png,30C-36,M6A-30,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C036?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,LC Slight Intrusion 40 || This Pokémon also does 10 damage to itself. || Weakness: Fighting Resistance: none Retreat: 2,LC Vorwagen 40 || Dieses Pokémon fügt auch sich selbst 10 Schadenspunkte zu.
Pikachu,Pikachu,30C,37,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_037_R_EN_LG.png,30C-37,M6A-31,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C037?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,"C Energized Tail || Search your deck for an Energy card, reveal it, and put it into your hand. Then, shuffle your deck. || LC Pika Punch 30 || Weakness: Fighting Resistance: none Retreat: 1","C Energieschweif || Durchsuche dein Deck nach 1 Energiekarte, zeige sie deinem Gegner und nimm sie auf deine Hand. Mische anschließend dein Deck. || LC Pikahieb 30"
Pikachu,Pikachu,30C,38,Basic,Lightning,60,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_038_R_EN_LG.png,30C-38,M6A-32,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C038?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,L Targeted Spark || This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) || Weakness: Fighting Resistance: none Retreat: 1,L Gezielter Funke || Diese Attacke fügt 1 Pokémon deines Gegners 20 Schadenspunkte zu. (Wende Schwäche und Resistenz bei Pokémon auf der Bank nicht an.)
Pikachu,Pikachu,30C,39,Basic,Lightning,70,,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/30C/30C_039_R_EN_LG.png,30C-39,M6A-33,https://www.cardmarket.com/en/Pokemon/Products/Singles/30th-Celebration/Pikachu-30C039?utm_source=limitlesstcg&utm_medium=text&utm_campaign=card_prices,C Iron Tail 20× || Flip a coin until you get tails. This attack does 20 damage for each heads. || Weakness: Fighting Resistance: none Retreat: 1,"C Eisenschweif 20× || Wirf so lange 1 Münze, bis sie Zahl zeigt. Diese Attacke fügt 20 Schadenspunkte pro Kopf zu."
