set,number,name,eur_price,status,current_product_id,current_product_name,resolved_product_id,resolved_product_name,card_text,candidates
SP,156,Greninja V-UNION,"4,90€",already-correct,572156,Greninja V-UNION [Ninja Body | Aqua Edge],572156,Greninja V-UNION [Ninja Body | Aqua Edge],Ninja Body Aqua Edge,5
NVI,43,Victini,"4,63€",already-correct,280166,Victini [V-blast],280166,Victini [V-blast],V-blast,5
E3,98,Slugma,"4,60€",already-correct,275357,Slugma [Tackle | Scorching Lava],275357,Slugma [Tackle | Scorching Lava],Tackle Scorching Lava,2
SP,165,Zacian V-UNION,"4,15€",already-correct,572165,Zacian V-UNION [Steel Cut],572165,Zacian V-UNION [Steel Cut],Steel Cut,5
CG,58,Mudkip,"3,88€",already-correct,277139,Mudkip [Nap | Waterfall],277139,Mudkip [Nap | Waterfall],Nap Waterfall,2
EM,16,Manectric,"3,18€",already-correct,276527,Manectric [Dazzle Blast | Zap Kick],276527,Manectric [Dazzle Blast | Zap Kick],Dazzle Blast Zap Kick,2
TRR,53,Dratini,"2,95€",already-correct,276345,Dratini [Dragon Song | Tail Strike],276345,Dratini [Dragon Song | Tail Strike],Dragon Song Tail Strike,2
SP,95,Eevee,"2,89€",already-correct,547026,Eevee [First Step | Tail Whap],547026,Eevee [First Step | Tail Whap],First Step Tail Whap,7
HP,78,Pikachu,"2,78€",already-correct,277048,Pikachu [Thunder Wave | Quick Attack],277048,Pikachu [Thunder Wave | Quick Attack],Thunder Wave Quick Attack,1
SHF,SV28,Chewtle,"2,62€",already-correct,539528,Chewtle [Bite | Water Gun],539528,Chewtle [Bite | Water Gun],Bite Water Gun,2
PHF,17,Feraligatr,"2,54€",already-correct,281820,Feraligatr [Hyper Whirlpool | Second Strike],281820,Feraligatr [Hyper Whirlpool | Second Strike],Hyper Whirlpool Second Strike,2
AOR,14,Entei,"2,15€",already-correct,284195,Entei [Burning Roar | Combat Blaze],284195,Entei [Burning Roar | Combat Blaze],Burning Roar Combat Blaze,2
CG,34,Ivysaur,"2,08€",already-correct,277115,Ivysaur [Sleep Powder | Vine Whip],277115,Ivysaur [Sleep Powder | Vine Whip],Sleep Powder Vine Whip,3
E2,87,Houndour,"2,08€",already-correct,275161,Houndour [Feint Attack],275161,Houndour [Feint Attack],Feint Attack,2
SSH,36,Cinderace,"2,07€",already-correct,436334,Cinderace [Flame Cloak | Bright Flame],436334,Cinderace [Flame Cloak | Bright Flame],Flame Cloak Bright Flame,4
RS,28,Combusken,"2,00€",already-correct,275676,Combusken [Natural Cure | Lunge],275676,Combusken [Natural Cure | Lunge],Natural Cure Lunge,2
CEC,167,Eevee,"1,97€",already-correct,408459,Eevee [Follow My Tail | Tackle],408459,Eevee [Follow My Tail | Tackle],Follow My Tail Tackle,2
TRR,63,Larvitar,"1,77€",already-correct,276355,Larvitar [Light Punch | Dig Drain],276355,Larvitar [Light Punch | Dig Drain],Light Punch Dig Drain,2
SS,27,Anorith,"1,76€",already-correct,275804,Anorith [Fast Evolution | Pierce],275804,Anorith [Fast Evolution | Pierce],Fast Evolution Pierce,2
SS,28,Anorith,"1,76€",already-correct,275805,Anorith [Slash | Double Scratch],275805,Anorith [Slash | Double Scratch],Slash Double Scratch,2
XY,88,Jigglypuff,"1,62€",already-correct,281425,Jigglypuff [Body Slam],281425,Jigglypuff [Body Slam],Body Slam,2
E2,86,Houndour,"1,53€",already-correct,275160,Houndour [Singe | Flare],275160,Houndour [Singe | Flare],Singe Flare,2
HL,44,Metang,"1,44€",already-correct,276118,Metang [Levitate | Tackle],276118,Metang [Levitate | Tackle],Levitate Tackle,3
DR,30,Graveler,"1,42€",already-correct,275907,Graveler [Magnitude | Rollout],275907,Graveler [Magnitude | Rollout],Magnitude Rollout,2
DR,29,Graveler,"1,29€",already-correct,275906,Graveler [Grind | Big Explosion],275906,Graveler [Grind | Big Explosion],Grind Big Explosion,2
N1,56,Cyndaquil,"1,29€",already-correct,274456,Cyndaquil [Leer | Swift],274456,Cyndaquil [Leer | Swift],Leer Swift,3
BLW,43,Zebstrika,"1,19€",already-correct,279781,Zebstrika [Rear Kick | Electrispark],279781,Zebstrika [Rear Kick | Electrispark],Rear Kick Electrispark,3
PHF,12,Pyroar,"1,18€",already-correct,281815,Pyroar [Flare Command | Inferno Onrush],281815,Pyroar [Flare Command | Inferno Onrush],Flare Command Inferno Onrush,2
CEC,166,Eevee,"1,15€",already-correct,408454,Eevee [Lead | Bite],408454,Eevee [Lead | Bite],Lead Bite,2
MA,57,Team Aqua's Spheal,"1,10€",already-correct,276034,Team Aqua's Spheal [Rollout | Aqua Trance],276034,Team Aqua's Spheal [Rollout | Aqua Trance],Rollout Aqua Trance,2
TEU,23,Squirtle,"1,02€",already-correct,368955,Squirtle [Tackle | Rain Splash],368955,Squirtle [Tackle | Rain Splash],Tackle Rain Splash,2
PHF,10,Talonflame,"1,01€",already-correct,281811,Talonflame [Acrobatics | Jet Shoot],281811,Talonflame [Acrobatics | Jet Shoot],Acrobatics Jet Shoot,2
FST,43,Cinderace V,"0,98€",already-correct,582177,Cinderace V [Blaze Kick],582177,Cinderace V [Blaze Kick],Blaze Kick,2
NVI,33,Cryogonal,"0,93€",already-correct,280156,Cryogonal [Ice Chain | Frost Vanish],280156,Cryogonal [Ice Chain | Frost Vanish],Ice Chain Frost Vanish,3
TEU,22,Squirtle,"0,90€",already-correct,368954,Squirtle [Floating Shell | Water Gun],368954,Squirtle [Floating Shell | Water Gun],Floating Shell Water Gun,2
HS,55,Unown,"0,88€",already-correct,279027,Unown [FLASH | Hidden Power],279027,Unown [FLASH | Hidden Power],FLASH Hidden Power,2
DF,32,Kirlia,"0,86€",already-correct,277237,Kirlia [Psyshock | Link Blast],277237,Kirlia [Psyshock | Link Blast],Psyshock Link Blast,1
DR,42,Shelgon,"0,86€",already-correct,275919,Shelgon [Granite Head | Flare],275919,Shelgon [Granite Head | Flare],Granite Head Flare,3
DR,41,Shelgon,"0,85€",already-correct,275918,Shelgon [Energy Guard | Rollout],275918,Shelgon [Energy Guard | Rollout],Energy Guard Rollout,3
EM,7,Manectric,"0,85€",already-correct,276518,Manectric [Swift | Tail Shock],276518,Manectric [Swift | Tail Shock],Swift Tail Shock,2
SS,67,Lotad,"0,79€",already-correct,275844,Lotad [Tackle | Blot],275844,Lotad [Tackle | Blot],Tackle Blot,2
AOR,11,Vespiquen,"0,76€",already-correct,284192,Vespiquen [Bee Drain | Fury Swipes],284192,Vespiquen [Bee Drain | Fury Swipes],Bee Drain Fury Swipes,3
UL,51,Larvitar,"0,76€",already-correct,279207,Larvitar [Bite | Knuckle Punch],279207,Larvitar [Bite | Knuckle Punch],Bite Knuckle Punch,2
HS,54,Unown,"0,72€",already-correct,279026,Unown [RETURN | Hidden Power],279026,Unown [RETURN | Hidden Power],RETURN Hidden Power,2
DR,20,Shelgon,"0,66€",already-correct,275897,Shelgon [Scrunch | Rolling Attack],275897,Shelgon [Scrunch | Rolling Attack],Scrunch Rolling Attack,3
XY,87,Jigglypuff,"0,65€",already-correct,281424,Jigglypuff [Rollout | Heartfelt Song],281424,Jigglypuff [Rollout | Heartfelt Song],Rollout Heartfelt Song,2
EM,66,Spoink,"0,64€",already-correct,276577,Spoink [Lunge],276577,Spoink [Lunge],Lunge,2
BCR,65,Croagunk,"0,58€",already-correct,280652,Croagunk [Poison Jab],280652,Croagunk [Poison Jab],Poison Jab,2
PRC,68,Nidoqueen,"0,58€",already-correct,273599,Nidoqueen [Double Kick | Poison Fang],273599,Nidoqueen [Double Kick | Poison Fang],Double Kick Poison Fang,2
TEU,115,Alolan Exeggutor,"0,57€",already-correct,369043,Alolan Exeggutor [Paradise Draw | Egg Splat],369043,Alolan Exeggutor [Paradise Draw | Egg Splat],Paradise Draw Egg Splat,2
MA,50,Team Aqua's Corphish,"0,52€",already-correct,276027,Team Aqua's Corphish [Toxic Grip],276027,Team Aqua's Corphish [Toxic Grip],Toxic Grip,3
SVP,197,Koraidon ex,"0,49€",already-correct,813956,Koraidon ex [Claw Slash | Revenge Buster],813956,Koraidon ex [Claw Slash | Revenge Buster],Claw Slash Revenge Buster,2
DRX,96,Zweilous,"0,48€",already-correct,280535,Zweilous [Draw In | Dragon Headbutt],280535,Zweilous [Draw In | Dragon Headbutt],Draw In Dragon Headbutt,2
DR,68,Nincada,"0,44€",already-correct,275945,Nincada [Leech Life],275945,Nincada [Leech Life],Leech Life,3
BKT,9,Chespin,"0,43€",already-correct,286255,Chespin [Tree Climb | Seed Bomb],286255,Chespin [Tree Climb | Seed Bomb],Tree Climb Seed Bomb,3
DR,67,Nincada,"0,41€",already-correct,275944,Nincada [Bite | Double Scratch],275944,Nincada [Bite | Double Scratch],Bite Double Scratch,3
DRX,95,Zweilous,"0,41€",already-correct,280534,Zweilous [Crunch | Dragon Claw],280534,Zweilous [Crunch | Dragon Claw],Crunch Dragon Claw,2
UL,39,Pupitar,"0,41€",already-correct,279195,Pupitar [Hammer In | Speed Attack],279195,Pupitar [Hammer In | Speed Attack],Hammer In Speed Attack,2
UNB,10,Venonat,"0,41€",already-correct,372303,Venonat [Psybeam],372303,Venonat [Psybeam],Psybeam,2
DEX,42,Joltik,"0,40€",already-correct,280370,Joltik [Static Shock],280370,Joltik [Static Shock],Static Shock,2
DR,70,Numel,"0,40€",already-correct,275947,Numel [Rollout | Kindle],275947,Numel [Rollout | Kindle],Rollout Kindle,2
NVI,68,Stunfisk,"0,38€",already-correct,280191,Stunfisk [Trickle | Thundershock],280191,Stunfisk [Trickle | Thundershock],Trickle Thundershock,2
TEU,35,Alolan Geodude,"0,38€",already-correct,368966,Alolan Geodude [Charge | Smash Bomb],368966,Alolan Geodude [Charge | Smash Bomb],Charge Smash Bomb,2
SSH,110,Sandaconda,"0,36€",already-correct,436669,Sandaconda [Sand Sac | Power Press],436669,Sandaconda [Sand Sac | Power Press],Sand Sac Power Press,2
DR,69,Numel,"0,35€",already-correct,275946,Numel [Firebreathing | Tackle],275946,Numel [Firebreathing | Tackle],Firebreathing Tackle,2
UNB,6,Oddish,"0,35€",already-correct,372299,Oddish [Hook],372299,Oddish [Hook],Hook,2
DEX,41,Joltik,"0,34€",already-correct,280369,Joltik [Ram | Bug Bite],280369,Joltik [Ram | Bug Bite],Ram Bug Bite,2
DR,56,Geodude,"0,33€",already-correct,275933,Geodude [Steady Punch],275933,Geodude [Steady Punch],Steady Punch,2
BKT,8,Chespin,"0,32€",already-correct,286254,Chespin [Work | Seed Bomb],286254,Chespin [Work | Seed Bomb],Work Seed Bomb,3
MEP,46,Chikorita,"0,31€",already-correct,879255,Chikorita [Razor Leaf],879255,Chikorita [Razor Leaf],Razor Leaf,2
UD,54,Houndour,"0,31€",already-correct,279307,Houndour [Jump On],279307,Houndour [Jump On],Jump On,2
BKT,90,Zorua,"0,29€",already-correct,286336,Zorua [Whiny Voice | Dark Edge],286336,Zorua [Whiny Voice | Dark Edge],Whiny Voice Dark Edge,2
DR,55,Geodude,"0,29€",already-correct,275932,Geodude [Light Punch | Pebble Throw],275932,Geodude [Light Punch | Pebble Throw],Light Punch Pebble Throw,2
PLS,65,Trubbish,"0,29€",already-correct,280805,Trubbish [Tool Drop],280805,Trubbish [Tool Drop],Tool Drop,3
BKT,7,Chespin,"0,28€",already-correct,286253,Chespin [Nosh | Seed Bomb],286253,Chespin [Nosh | Seed Bomb],Nosh Seed Bomb,3
BLW,41,Blitzle,"0,28€",already-correct,279779,Blitzle [Stomp],279779,Blitzle [Stomp],Stomp,2
LTR,73,Solosis,"0,28€",already-correct,281224,Solosis [Rollout],281224,Solosis [Rollout],Rollout,2
LTR,74,Solosis,"0,28€",already-correct,281225,Solosis [Nap | Ram],281225,Solosis [Nap | Ram],Nap Ram,2
BCR,64,Croagunk,"0,26€",already-correct,280651,Croagunk [Paralyzing Jab],280651,Croagunk [Paralyzing Jab],Paralyzing Jab,2
DR,66,Nincada,"0,26€",already-correct,275943,Nincada [Poison Breath],275943,Nincada [Poison Breath],Poison Breath,3
NVI,42,Stunfisk,"0,26€",already-correct,280165,Stunfisk [Mud Shot | Thunder],280165,Stunfisk [Mud Shot | Thunder],Mud Shot Thunder,2
PLS,64,Trubbish,"0,26€",already-correct,280804,Trubbish [Pound | Sludge Bomb],280804,Trubbish [Pound | Sludge Bomb],Pound Sludge Bomb,3
UD,53,Houndour,"0,26€",already-correct,279306,Houndour [Sharp Fang],279306,Houndour [Sharp Fang],Sharp Fang,2
DEX,21,Larvesta,"0,25€",already-correct,280349,Larvesta [Super Singe],280349,Larvesta [Super Singe],Super Singe,2
HL,66,Meditite,"0,25€",already-correct,276140,Meditite [Jab | Steady Punch],276140,Meditite [Jab | Steady Punch],Jab Steady Punch,2
LOT,162,Kecleon,"0,25€",already-correct,365798,Kecleon [Unit Color 3 | Gentle Slap],365798,Kecleon [Unit Color 3 | Gentle Slap],Unit Color 3 Gentle Slap,2
PLS,63,Trubbish,"0,25€",already-correct,280803,Trubbish [Pile Up | Sludge Toss],280803,Trubbish [Pile Up | Sludge Toss],Pile Up Sludge Toss,3
FCO,59,Wormadam,"0,24€",already-correct,289880,Wormadam [Strike Back | Iron Head],289880,Wormadam [Strike Back | Iron Head],Strike Back Iron Head,3
PLF,76,Deino,"0,24€",already-correct,280954,Deino [Slam],280954,Deino [Slam],Slam,2
UNB,68,Gastly,"0,24€",already-correct,372356,Gastly [Smog],372356,Gastly [Smog],Smog,2
BLW,78,Patrat,"0,23€",already-correct,279816,Patrat [Hyper Fang],279816,Patrat [Hyper Fang],Hyper Fang,2
NVI,58,Litwick,"0,23€",already-correct,280181,Litwick [Teleportation Burst],280181,Litwick [Teleportation Burst],Teleportation Burst,2
UD,59,Murkrow,"0,23€",already-correct,279312,Murkrow [Glide | Dark Cutter],279312,Murkrow [Glide | Dark Cutter],Glide Dark Cutter,2
UNB,37,Poliwag,"0,23€",already-correct,372328,Poliwag [Call for Family],372328,Poliwag [Call for Family],Call for Family,2
UNB,67,Gastly,"0,23€",already-correct,372355,Gastly [Swelling Spite | Will-O-Wisp],372355,Gastly [Swelling Spite | Will-O-Wisp],Swelling Spite Will-O-Wisp,2
ASR,85,Kleavor,"0,22€",already-correct,658702,Kleavor [Rout | Rocky Tackle],658702,Kleavor [Rout | Rocky Tackle],Rout Rocky Tackle,3
CES,55,Oricorio,"0,22€",already-correct,361301,Oricorio [Zappy Pom-Poms | Electric Ball],361301,Oricorio [Zappy Pom-Poms | Electric Ball],Zappy Pom-Poms Electric Ball,2
BLW,40,Blitzle,"0,21€",already-correct,279778,Blitzle [Rear Kick],279778,Blitzle [Rear Kick],Rear Kick,2
CES,30,Oricorio,"0,21€",already-correct,361277,Oricorio [Captivating Salsa | Heat Blast],361277,Oricorio [Captivating Salsa | Heat Blast],Captivating Salsa Heat Blast,2
SS,66,Lotad,"0,21€",already-correct,275843,Lotad [Rain Dish | Ram],275843,Lotad [Rain Dish | Ram],Rain Dish Ram,2
TEU,117,Dratini,"0,21€",already-correct,369045,Dratini [Defensive Scales | Rain Splash],369045,Dratini [Defensive Scales | Rain Splash],Defensive Scales Rain Splash,2
UD,63,Pineco,"0,21€",already-correct,279316,Pineco [Focus Energy | Surprise Attack],279316,Pineco [Focus Energy | Surprise Attack],Focus Energy Surprise Attack,2
HL,65,Meditite,"0,20€",already-correct,276139,Meditite [Double Chop | Calm Mind],276139,Meditite [Double Chop | Calm Mind],Double Chop Calm Mind,2
TEU,116,Dratini,"0,20€",already-correct,369044,Dratini [Dragon Rage],369044,Dratini [Dragon Rage],Dragon Rage,2
BLW,77,Patrat,"0,19€",already-correct,279815,Patrat [Tackle | Bite],279815,Patrat [Tackle | Bite],Tackle Bite,2
DEX,14,Torchic,"0,19€",already-correct,280342,Torchic [Reckless Charge],280342,Torchic [Reckless Charge],Reckless Charge,2
DEX,20,Larvesta,"0,19€",already-correct,280348,Larvesta [Ram | Flare],280348,Larvesta [Ram | Flare],Ram Flare,2
EPO,25,Basculin,"0,19€",already-correct,279990,Basculin [Tackle | Splatter],279990,Basculin [Tackle | Splatter],Tackle Splatter,2
UD,62,Pineco,"0,19€",already-correct,279315,Pineco [Rollout],279315,Pineco [Rollout],Rollout,2
BKT,132,Noibat,"0,18€",already-correct,286378,Noibat [Mysterious Beam | Gust],286378,Noibat [Mysterious Beam | Gust],Mysterious Beam Gust,2
DEX,44,Tynamo,"0,17€",already-correct,280372,Tynamo [Charge Beam],280372,Tynamo [Charge Beam],Charge Beam,2
DEX,45,Tynamo,"0,17€",already-correct,280373,Tynamo [Spark],280373,Tynamo [Spark],Spark,2
BLW,16,Tepig,"0,16€",already-correct,279754,Tepig [Take Down],279754,Tepig [Take Down],Take Down,3
CES,33,Mudkip,"0,16€",already-correct,361280,Mudkip [Tackle | Wave Splash],361280,Mudkip [Tackle | Wave Splash],Tackle Wave Splash,2
FLF,51,Sneasel,"0,16€",already-correct,281534,Sneasel [Icy Wind | Scratch],281534,Sneasel [Icy Wind | Scratch],Icy Wind Scratch,2
LOT,164,Pikipek,"0,16€",already-correct,365800,Pikipek [Send Back | Peck],365800,Pikipek [Send Back | Peck],Send Back Peck,2
NVI,57,Litwick,"0,16€",already-correct,280180,Litwick [Searing Flame],280180,Litwick [Searing Flame],Searing Flame,2
UPR,81,Magnemite,"0,16€",already-correct,316008,Magnemite [Solid Unit | Ram],316008,Magnemite [Solid Unit | Ram],Solid Unit Ram,2
FLF,50,Sneasel,"0,15€",already-correct,281533,Sneasel [Scratch | Flash Claw],281533,Sneasel [Scratch | Flash Claw],Scratch Flash Claw,2
FLI,6,Scatterbug,"0,15€",already-correct,355527,Scatterbug [Ultra Evolution],355527,Scatterbug [Ultra Evolution],Ultra Evolution,2
CES,32,Mudkip,"0,14€",already-correct,361279,Mudkip [Water Reserve],361279,Mudkip [Water Reserve],Water Reserve,2
FLI,14,Fennekin,"0,14€",already-correct,355534,Fennekin [Ember],355534,Fennekin [Ember],Ember,3
FLI,47,Honedge,"0,14€",already-correct,355566,Honedge [Metal Sound],355566,Honedge [Metal Sound],Metal Sound,2
LOT,65,Popplio,"0,14€",already-correct,365703,Popplio [Blot],365703,Popplio [Blot],Blot,2
PHF,29,Helioptile,"0,14€",already-correct,281834,Helioptile [Quick Attack | Static Shock],281834,Helioptile [Quick Attack | Static Shock],Quick Attack Static Shock,2
SSH,43,Krabby,"0,14€",already-correct,436369,Krabby [Super Slice],436369,Krabby [Super Slice],Super Slice,2
CEC,50,Spheal,"0,13€",already-correct,407899,Spheal [Body Slam],407899,Spheal [Body Slam],Body Slam,2
CES,104,Bagon,"0,13€",already-correct,361345,Bagon [Reckless Charge],361345,Bagon [Reckless Charge],Reckless Charge,2
CES,64,Shuppet,"0,13€",already-correct,361308,Shuppet [Perplex],361308,Shuppet [Perplex],Perplex,3
EPO,24,Basculin,"0,13€",already-correct,279989,Basculin [Flail | Final Gambit],279989,Basculin [Flail | Final Gambit],Flail Final Gambit,2
LOT,163,Pikipek,"0,13€",already-correct,365799,Pikipek [Peck Off],365799,Pikipek [Peck Off],Peck Off,2
LOT,64,Popplio,"0,13€",already-correct,365702,Popplio [Disarming Voice],365702,Popplio [Disarming Voice],Disarming Voice,2
SSH,11,Grookey,"0,13€",already-correct,427156,Grookey [Scratch | Beat],427156,Grookey [Scratch | Beat],Scratch Beat,2
SSH,13,Thwackey,"0,13€",already-correct,436239,Thwackey [Beat | Ambush],436239,Thwackey [Beat | Ambush],Beat Ambush,2
UNM,168,Slakoth,"0,13€",already-correct,388627,Slakoth [Scratch | Boundless Power],388627,Slakoth [Scratch | Boundless Power],Scratch Boundless Power,2
BKT,131,Noibat,"0,12€",already-correct,286377,Noibat [Blot],286377,Noibat [Blot],Blot,2
CEC,49,Spheal,"0,12€",already-correct,407894,Spheal [Rollout | Icy Snow],407894,Spheal [Rollout | Icy Snow],Rollout Icy Snow,2
HIF,38,Clefairy,"0,12€",already-correct,394597,Clefairy [Lead | Pound],394597,Clefairy [Lead | Pound],Lead Pound,2
HIF,39,Clefairy,"0,12€",already-correct,394652,Clefairy [Pound | Moon Dance],394652,Clefairy [Pound | Moon Dance],Pound Moon Dance,2
UNM,64,Tynamo,"0,12€",already-correct,388142,Tynamo [Generate Electricity],388142,Tynamo [Generate Electricity],Generate Electricity,2
UPR,97,Gible,"0,12€",already-correct,316023,Gible [Rock Hiding | Gnaw],316023,Gible [Rock Hiding | Gnaw],Rock Hiding Gnaw,2
CEC,150,Flabébé,"0,11€",already-correct,408394,Flabébé [Petal Blizzard],408394,Flabébé [Petal Blizzard],Petal Blizzard,2
PHF,28,Helioptile,"0,11€",already-correct,281833,Helioptile [Tail Rap],281833,Helioptile [Tail Rap],Tail Rap,2
SSH,12,Thwackey,"0,11€",already-correct,436234,Thwackey [Taunt | Double Hit],436234,Thwackey [Taunt | Double Hit],Taunt Double Hit,2
SSH,31,Scorbunny,"0,11€",already-correct,427161,Scorbunny [Tackle | Flare],427161,Scorbunny [Tackle | Flare],Tackle Flare,2
SSH,74,Yamper,"0,11€",already-correct,436499,Yamper [Bite | Zap Kick],436499,Yamper [Bite | Zap Kick],Bite Zap Kick,2
UNM,98,Salandit,"0,11€",already-correct,388297,Salandit [Suffocating Gas | Gnaw],388297,Salandit [Suffocating Gas | Gnaw],Suffocating Gas Gnaw,2
CEC,149,Flabébé,"0,10€",already-correct,408389,Flabébé [Floral Invitation],408389,Flabébé [Floral Invitation],Floral Invitation,2
CES,103,Bagon,"0,10€",already-correct,361344,Bagon [Rock Head],361344,Bagon [Rock Head],Rock Head,2
CES,12,Seedot,"0,10€",already-correct,361259,Seedot [Stampede],361259,Seedot [Stampede],Stampede,2
FCO,41,Larvitar,"0,10€",already-correct,290535,Larvitar [Mountain Munch | Corkscrew Punch],290535,Larvitar [Mountain Munch | Corkscrew Punch],Mountain Munch Corkscrew Punch,2
UNM,167,Slakoth,"0,10€",already-correct,388622,Slakoth [Lazy Howl | Hang Down],388622,Slakoth [Lazy Howl | Hang Down],Lazy Howl Hang Down,2
