klasse,set,number,name,eur_price,our_product_id,our_product_name,ppl_product_id,ppl_product_name,card_text,url
duplicate,STS,15,Volcarona,"8,53€",450483,Volcarona [Shimmering Scales | Power Hurricane],291522,Volcarona [Shimmering Scales | Power Hurricane],Shimmering Scales Power Hurricane,https://pokepricelab.com/de/catalog/steam-siege-volcarona-15
duplicate,SIT,193,Serena,"8,25€",682256,Serena,682241,Serena,,https://pokepricelab.com/de/catalog/silver-tempest-serena-193
duplicate,BST,173,Cheryl,"7,81€",546471,Cheryl,546656,Cheryl,,https://pokepricelab.com/de/catalog/battle-styles-cheryl-173
duplicate,CRE,214,Doctor,"7,54€",567298,Doctor,567322,Doctor,,https://pokepricelab.com/de/catalog/chilling-reign-doctor-214
duplicate,BST,159,Cheryl,"7,45€",546656,Cheryl,546471,Cheryl,,https://pokepricelab.com/de/catalog/battle-styles-cheryl-159
duplicate,EVS,224,Raihan,"7,37€",574260,Raihan,574282,Raihan,,https://pokepricelab.com/de/catalog/evolving-skies-raihan-224
duplicate,VIV,193,Bea,"7,33€",512610,Bea,512675,Bea,,https://pokepricelab.com/de/catalog/vivid-voltage-bea-193
duplicate,VIV,182,Leon,"7,29€",512685,Leon,512620,Leon,,https://pokepricelab.com/de/catalog/vivid-voltage-leon-182
duplicate,CRE,190,Doctor,"6,81€",567322,Doctor,567298,Doctor,,https://pokepricelab.com/de/catalog/chilling-reign-doctor-190
duplicate,BRS,18,Charizard VSTAR,"6,78€",608462,Charizard VSTAR [Explosive Fire | Star Blaze],610907,Charizard VSTAR [Explosive Fire | Star Blaze],Explosive Fire Star Blaze,https://pokepricelab.com/de/catalog/brilliant-stars-charizard-vstar-018
duplicate,LOR,203,Hisuian Zoroark VSTAR,"6,76€",674219,Hisuian Zoroark VSTAR [Ticking Curse | Phantom Star],674209,Hisuian Zoroark VSTAR [Ticking Curse | Phantom Star],Phantom Star Ticking Curse,https://pokepricelab.com/de/catalog/lost-origin-hisuian-zoroark-vstar-203
duplicate,E1,1,Alakazam,"6,56€",274908,Alakazam [Psymimic | Syncroblast],274876,Alakazam [Psymimic | Syncroblast],Psymimic Syncroblast,https://pokepricelab.com/de/catalog/expedition-base-set-alakazam-1
duplicate,SIT,204,Candice,"6,55€",682237,Candice,682252,Candice,,https://pokepricelab.com/de/catalog/silver-tempest-candice-204
duplicate,VIV,180,Bea,"6,54€",512675,Bea,512610,Bea,,https://pokepricelab.com/de/catalog/vivid-voltage-bea-180
duplicate,SIT,210,Serperior VSTAR,"6,29€",682244,Serperior VSTAR [Regal Blender | Star Winder],682259,Serperior VSTAR [Regal Blender | Star Winder],Regal Blender Star Winder,https://pokepricelab.com/de/catalog/silver-tempest-serperior-vstar-210
duplicate,EVS,225,Zinnia's Resolve,"6,27€",574261,Zinnia's Resolve,574283,Zinnia's Resolve,,https://pokepricelab.com/de/catalog/evolving-skies-zinnia-s-resolve-225
duplicate,EVS,203,Zinnia's Resolve,"6,22€",574283,Zinnia's Resolve,574261,Zinnia's Resolve,,https://pokepricelab.com/de/catalog/evolving-skies-zinnia-s-resolve-203
duplicate,SIT,189,Candice,"5,95€",682252,Candice,682237,Candice,,https://pokepricelab.com/de/catalog/silver-tempest-candice-189
duplicate,UPR,153,Lusamine,"5,42€",449883,Lusamine,316077,Lusamine,,https://pokepricelab.com/de/catalog/ultra-prism-lusamine-153
duplicate,SSH,201,Professor's Research,"5,30€",437134,Professor's Research - Professor Magnolia,433949,Professor's Research - Professor Magnolia,,https://pokepricelab.com/de/catalog/sword-shield-professor-s-research-201
duplicate,SIT,196,Serperior VSTAR,"5,28€",682259,Serperior VSTAR [Regal Blender | Star Winder],682244,Serperior VSTAR [Regal Blender | Star Winder],Regal Blender Star Winder,https://pokepricelab.com/de/catalog/silver-tempest-serperior-vstar-196
duplicate,EVS,202,Raihan,"5,09€",574282,Raihan,574260,Raihan,,https://pokepricelab.com/de/catalog/evolving-skies-raihan-202
duplicate,BST,82,Sandaconda,"3,87€",569897,Sandaconda [Big Sand Cannon | Skull Bash],569898,Sandaconda [Big Sand Cannon | Skull Bash],Big Sand Cannon Skull Bash,https://pokepricelab.com/de/catalog/battle-styles-sandaconda-82
duplicate,SP,301,Lugia V,"3,10€",719677,Lugia V [Read the Wind | Aero Dive],719676,Lugia V [Read the Wind | Aero Dive],Read the Wind Aero Dive,https://pokepricelab.com/de/catalog/swsh-black-star-promos-lugia-v-301
duplicate,BUS,143,Guzma,"3,02€",312287,Guzma,299541,Guzma,,https://pokepricelab.com/de/catalog/burning-shadows-guzma-143
duplicate,ROS,92,Trainers' Mail,"3,02€",297897,Trainers' Mail,282760,Trainers' Mail,,https://pokepricelab.com/de/catalog/roaring-skies-trainers-mail-92
duplicate,SP,99,Crobat VMAX,"2,88€",549401,Crobat VMAX [Stealth Poison | Max Cutter],556553,Crobat VMAX [Stealth Poison | Max Cutter],Stealth Poison Max Cutter,https://pokepricelab.com/de/catalog/swsh-black-star-promos-crobat-vmax-099
duplicate,EVS,40,Glaceon V,"2,59€",574064,Glaceon V [Frozen Awakening | Heavy Snow],740474,Glaceon V [Frozen Awakening | Heavy Snow],Frozen Awakening Heavy Snow,https://pokepricelab.com/de/catalog/evolving-skies-glaceon-v-040
duplicate,SP,1,Grookey,"2,51€",427081,Grookey [Branch Poke],547426,Grookey [Branch Poke],Branch Poke,https://pokepricelab.com/de/catalog/swsh-black-star-promos-grookey-001
duplicate,TEU,99,Jirachi,"2,00€",369028,Jirachi [Stellar Wish | Slap],722925,Jirachi [Stellar Wish | Slap],Stellar Wish Slap,https://pokepricelab.com/de/catalog/team-up-jirachi-99
duplicate,SP,83,Alakazam V,"1,92€",530487,Alakazam V [Zen Spoon | Mind Ruler],530482,Alakazam V [Zen Spoon | Mind Ruler],Zen Spoon Mind Ruler,https://pokepricelab.com/de/catalog/swsh-black-star-promos-alakazam-v-083
duplicate,SP,61,Pikachu V,"1,84€",565010,Pikachu V [Charge | Thunderbolt],540616,Pikachu V [Charge | Thunderbolt],Charge Thunderbolt,https://pokepricelab.com/de/catalog/swsh-black-star-promos-pikachu-v-061
duplicate,RS,74,Torchic,"1,65€",275722,Torchic [Singe],547271,Torchic [Singe],Singe,https://pokepricelab.com/de/catalog/ex-ruby-sapphire-torchic-74
duplicate,SP,21,Polteageist V,"1,64€",461664,Polteageist V [Teapot of Surpises | Mind Bend],576518,Polteageist V [Teapot of Surpises | Mind Bend],Teapot of Surprises Mind Bend,https://pokepricelab.com/de/catalog/swsh-black-star-promos-polteageist-v-021
duplicate,SVP,216,Team Rocket's Mewtwo ex,"1,62€",830111,Team Rocket's Mewtwo ex [Power Saver | Erasure Ball],832225,Team Rocket's Mewtwo ex [Power Saver | Erasure Ball],Power Saver Erasure Ball,https://pokepricelab.com/de/catalog/sv-black-star-promos-team-rocket-s-mewtwo-ex-216
duplicate,BWP,3,Oshawott,"1,46€",279923,Oshawott [Water Pulse],547306,Oshawott [Water Pulse],Water Pulse,https://pokepricelab.com/de/catalog/bw-black-star-promos-oshawott-03
duplicate,DAA,37,Suicune,"1,42€",483059,Suicune [Wave Splash | Aurora Loop],547901,Suicune [Wave Splash | Aurora Loop],Wave Splash Aurora Loop,https://pokepricelab.com/de/catalog/darkness-ablaze-suicune-37
duplicate,SIT,33,Alolan Vulpix V,"1,36€",682075,Alolan Vulpix V [White Drop | Frost Smash],740473,Alolan Vulpix V [White Drop | Frost Smash],White Drop Frost Smash,https://pokepricelab.com/de/catalog/silver-tempest-alolan-vulpix-v-033
duplicate,SP,30,Copperajah V,"1,30€",477159,Copperajah V [Adamantine Press | Wrack Down],576519,Copperajah V [Adamantine Press | Wrack Down],Adamantine Press Wrack Down,https://pokepricelab.com/de/catalog/swsh-black-star-promos-copperajah-v-030
