set;number;name;type;rarity
SP;62;Pikachu VMAX;LVMAX;
SP;63;Pikachu V;LBasic;
SP;64;Eternatus V;DBasic;
SP;65;Eevee V;CBasic;
SP;66;Charizard;RStage 2;
SP;67;Donphan;FStage 1;
SP;68;Snorlax;CBasic;
SP;69;Lugia;CBasic;
SP;70;Grookey;GBasic;
SP;71;Scorbunny;RBasic;
SP;72;Vaporeon;WStage 1;
SP;73;Sobble;WBasic;
SP;76;Zacian V;MBasic;
SP;77;Zamazenta V;MBasic;
SP;78;Orbeetle V;GBasic;
SP;79;Galarian Mr. Rime;WStage 1;
SP;80;Dedenne;PBasic;
SP;81;Polteageist;PStage 1;
SP;82;Bunnelby;CBasic;
SP;83;Alakazam V;PBasic;
SP;84;Eldegoss V;GBasic;
SP;85;Boltund V;LBasic;
SP;86;Cramorant V;CBasic;
SP;87;Eevee VMAX;CVMAX;
SP;88;Cherrim;GStage 1;
SP;89;Octillery;WStage 1;
SP;90;Houndoom;DStage 1;
SP;91;Bronzong;MStage 1;
SP;92;Charmander;RBasic;
SP;93;Arrokuda;WBasic;
SP;94;Jolteon;LStage 1;
SP;95;Eevee;CBasic;
SP;96;Dragapult V;PBasic;
SP;97;Dragapult VMAX;PVMAX;
SP;98;Crobat V;DBasic;
SP;99;Crobat VMAX;DVMAX;
SP;100;Venusaur V;GBasic;
SP;101;Blastoise V;WBasic;
SP;102;Venusaur VMAX;GVMAX;
SP;103;Blastoise VMAX;WVMAX;
SP;104;Victini V;RBasic;
SP;105;Gardevoir V;PBasic;
SP;106;Single Strike Urshifu V;FBasic;
SP;107;Rapid Strike Urshifu V;FBasic;
SP;108;Empoleon V;WBasic;
SP;109;Tyranitar V;DBasic;
SP;110;Crobat V;DBasic;
SP;111;Galarian Rapidash V;PBasic;
SP;112;Cinderace;RStage 2;
SP;113;Inteleon;WStage 2;
SP;114;Cresselia;PBasic;
SP;115;Passimian;FBasic;
SP;116;Morpeko;LBasic;
SP;117;Phanpy;FBasic;
SP;118;Eevee;CBasic;
SP;119;Snorlax;CBasic;
SP;120;Marnie;Supporter;
SP;121;Marnie;Supporter;
SP;122;Flaaffy;LStage 1;
SP;123;Galarian Articuno;PBasic;
SP;124;Galarian Zapdos;FBasic;
SP;125;Galarian Moltres;DBasic;
SP;126;Galarian Slowpoke;PBasic;
SP;127;Eevee;CBasic;
SP;128;Eiscue;WBasic;
SP;129;Umbreon;DStage 1;
SP;130;Ice Rider Calyrex V;WBasic;
SP;131;Shadow Rider Calyrex V;PBasic;
SP;132;Dragapult;PStage 2;
SP;133;Lance's Charizard V;RBasic;
SP;134;Dark Sylveon V;PBasic;
SP;135;Zacian LV.X;MLevel Up;
SP;136;Mimikyu;WBasic;
SP;137;Light Toxtricity;LStage 1;
SP;138;Hydreigon C;DBasic;
SP;139;Pikachu V-UNION;LV-UNION;
SP;140;Pikachu V-UNION;LV-UNION;
SP;141;Pikachu V-UNION;LV-UNION;
SP;142;Pikachu V-UNION;LV-UNION;
SP;143;Pikachu V;LBasic;
SP;144;Greninja Star;DBasic;
SP;145;Pikachu V;LBasic;
SP;146;Poké Ball;Item;
SP;147;Rayquaza V;NBasic;
SP;148;Noivern V;NBasic;
SP;149;Flareon V;RBasic;
SP;150;Vaporeon V;WBasic;
SP;151;Jolteon V;LBasic;
SP;152;Professor's Research;Supporter;
SP;153;Pikachu;LBasic;
SP;154;Dragonite V;NBasic;
SP;155;Greninja V-UNION;WV-UNION;
SP;156;Greninja V-UNION;WV-UNION;
SP;157;Greninja V-UNION;WV-UNION;
SP;158;Greninja V-UNION;WV-UNION;
SP;159;Mewtwo V-UNION;PV-UNION;
SP;160;Mewtwo V-UNION;PV-UNION;
SP;161;Mewtwo V-UNION;PV-UNION;
SP;162;Mewtwo V-UNION;PV-UNION;
SP;163;Zacian V-UNION;MV-UNION;
SP;164;Zacian V-UNION;MV-UNION;
SP;165;Zacian V-UNION;MV-UNION;
SP;166;Zacian V-UNION;MV-UNION;
SP;167;Professor Burnet;Supporter;
SP;168;Oricorio;RBasic;
SP;169;Pyukumuku;WBasic;
SP;170;Deoxys;PBasic;
SP;171;Latias;NBasic;
SP;172;Tepig;RBasic;
SP;173;Blitzle;LBasic;
SP;174;Espeon;PStage 1;
SP;175;Eevee;CBasic;
SP;176;Hoopa V;DBasic;
SP;178;Professor's Research;Supporter;
SP;179;Flareon V;RBasic;
SP;180;Flareon VMAX;RVMAX;
SP;181;Vaporeon V;WBasic;
SP;182;Vaporeon VMAX;WVMAX;
SP;183;Jolteon V;LBasic;
SP;184;Jolteon VMAX;LVMAX;
SP;185;Moltres;RBasic;
SP;186;Lucario;FStage 1;
SP;187;Liepard;DStage 1;
SP;188;Bibarel;CStage 1;
SP;189;Flapple;NStage 1;
SP;190;Eevee;CBasic;
SP;191;Leafeon;GStage 1;
SP;192;Glaceon;WStage 1;
SP;194;Leafeon V;GBasic;
SP;195;Leafeon VSTAR;GVSTAR;
SP;196;Glaceon V;WBasic;
SP;197;Glaceon VSTAR;WVSTAR;
SP;198;Pikachu V;LBasic;
SP;199;Lycanroc V;FBasic;
SP;200;Corviknight V;MBasic;
SP;201;Espeon V;PBasic;
SP;202;Sylveon V;PBasic;
SP;203;Umbreon V;DBasic;
SP;204;Arceus V;CBasic;
SP;205;Hisuian Basculegion;WStage 1;
SP;206;Wyrdeer;PStage 1;
SP;207;Hisuian Samurott;DStage 2;
SP;208;Magnezone;MStage 2;
SP;209;Toxel;LBasic;
SP;210;Oricorio;PBasic;
SP;211;Sylveon;PStage 1;
SP;212;Eevee;CBasic;
SP;213;Lucario V;FBasic;
SP;214;Lucario VSTAR;FVSTAR;
SP;215;Morpeko V-UNION;LV-UNION;
SP;216;Morpeko V-UNION;LV-UNION;
SP;217;Morpeko V-UNION;LV-UNION;
SP;218;Morpeko V-UNION;LV-UNION;
SP;219;Boltund V;LBasic;
SP;220;Rowlet;GBasic;
SP;221;Cyndaquil;RBasic;
SP;222;Oshawott;WBasic;
SP;223;Mewtwo V;PBasic;
SP;224;Melmetal V;MBasic;
SP;225;Alolan Exeggutor V;GBasic;
SP;226;Spark;Supporter;
SP;227;Blanche;Supporter;
SP;228;Candela;Supporter;
SP;229;Mewtwo V;PBasic;
SP;230;Radiant Eevee;CBasic;
SP;231;Bulbasaur;GBasic;
SP;232;Charmander;RBasic;
SP;233;Squirtle;WBasic;
SP;234;Pikachu;LBasic;
SP;235;Dragonite V;NBasic;
SP;236;Dragonite VSTAR;NVSTAR;
SP;237;Hisuian Typhlosion V;PBasic;
SP;238;Hisuian Decidueye V;FBasic;
SP;239;Hisuian Samurott V;DBasic;
SP;240;Finneon;WBasic;
SP;241;Gengar;PStage 2;
SP;242;Comfey;PBasic;
SP;243;Machamp;FStage 2;
SP;244;Scorbunny;RBasic;
SP;245;Croagunk;DBasic;
SP;246;Weavile;DStage 1;
SP;247;Regigigas;CBasic;
SP;248;Kleavor V;FBasic;
SP;249;Kleavor VSTAR;FVSTAR;
SP;250;Lumineon V;WBasic;
SP;251;Boss's Orders;Supporter;
SP;252;Infernape V;RBasic;
SP;253;Origin Forme Palkia V;WBasic;
SP;254;Origin Forme Palkia VSTAR;WVSTAR;
SP;255;Origin Forme Dialga V;MBasic;
SP;256;Origin Forme Dialga VSTAR;MVSTAR;
SP;257;Rotom V;LBasic;
SP;258;Gallade V;FBasic;
SP;259;Giratina V;NBasic;
SP;260;Charizard V;RBasic;
SP;261;Charizard VMAX;RVMAX;
SP;262;Charizard VSTAR;RVSTAR;
SP;263;Zeraora V;LBasic;
SP;264;Zeraora VMAX;LVMAX;
SP;265;Zeraora VSTAR;LVSTAR;
SP;266;Deoxys V;PBasic;
SP;267;Deoxys VMAX;PVMAX;
SP;268;Deoxys VSTAR;PVSTAR;
SP;269;Sunflora;GStage 1;
SP;270;Rapidash;RStage 1;
SP;271;Kirlia;PStage 1;
SP;272;Archeops;CStage 2;
SP;273;Hisuian Basculin;WBasic;
SP;274;Cranidos;FStage 1;
SP;275;Manaphy;WBasic;
SP;276;Togetic;PStage 1;
SP;277;Rillaboom;GStage 2;
SP;278;Cinderace;RStage 2;
SP;279;Inteleon;WStage 2;
SP;280;Regieleki V;LBasic;
SP;281;Regidrago V;NBasic;
SP;282;Galarian Articuno;PBasic;
SP;283;Galarian Zapdos;FBasic;
SP;284;Galarian Moltres;DBasic;
SP;285;Pikachu V;LBasic;
SP;286;Pikachu VMAX;LVMAX;
SP;291;Lucario VSTAR;FVSTAR;
SP;294;Hisuian Electrode V;GBasic;
SP;295;Virizion V;GBasic;
SP;296;Champions Festival;Stadium;
SP;297;Hisuian Zoroark V;CBasic;
SP;298;Hisuian Zoroark VSTAR;CVSTAR;
SP;301;Lugia V;CBasic;
SP;302;Klara;Supporter;
SP;306;Arceus V;CBasic;
SP;307;Arceus VSTAR;CVSTAR;
SSH;1;Celebi V;GBasic;Double Rare
SSH;2;Roselia;GBasic;Common
SSH;3;Roselia;GBasic;Common
SSH;4;Roserade;GStage 1;Rare
SSH;5;Cottonee;GBasic;Common
SSH;6;Whimsicott;GStage 1;Rare
SSH;7;Maractus;GBasic;Common
SSH;8;Durant;GBasic;Rare
SSH;9;Dhelmise V;GBasic;Double Rare
SSH;10;Grookey;GBasic;Common
SSH;11;Grookey;GBasic;Common
SSH;12;Thwackey;GStage 1;Uncommon
SSH;13;Thwackey;GStage 1;Uncommon
SSH;14;Rillaboom;GStage 2;Holo Rare
SSH;15;Rillaboom;GStage 2;Rare
SSH;16;Blipbug;GBasic;Common
SSH;17;Blipbug;GBasic;Common
SSH;18;Dottler;GStage 1;Uncommon
SSH;19;Orbeetle;GStage 2;Rare
SSH;20;Gossifleur;GBasic;Common
SSH;21;Eldegoss;GStage 1;Uncommon
SSH;22;Vulpix;RBasic;Common
SSH;23;Ninetales;RStage 1;Rare
SSH;24;Torkoal V;RBasic;Double Rare
SSH;25;Victini V;RBasic;Double Rare
SSH;26;Heatmor;RBasic;Uncommon
SSH;27;Salandit;RBasic;Common
SSH;28;Salazzle;RStage 1;Uncommon
SSH;29;Turtonator;RBasic;Rare
SSH;30;Scorbunny;RBasic;Common
SSH;31;Scorbunny;RBasic;Common
SSH;32;Raboot;RStage 1;Uncommon
SSH;33;Raboot;RStage 1;Uncommon
SSH;34;Cinderace;RStage 2;Holo Rare
SSH;35;Cinderace;RStage 2;Holo Rare
SSH;36;Cinderace;RStage 2;Rare
SSH;37;Sizzlipede;RBasic;Common
SSH;38;Sizzlipede;RBasic;Common
SSH;39;Centiskorch;RStage 1;Rare
SSH;40;Shellder;WBasic;Common
SSH;41;Cloyster;WStage 1;Rare
SSH;42;Krabby;WBasic;Common
SSH;43;Krabby;WBasic;Common
SSH;44;Kingler;WStage 1;Uncommon
SSH;45;Goldeen;WBasic;Common
SSH;46;Goldeen;WBasic;Common
SSH;47;Seaking;WStage 1;Uncommon
SSH;48;Lapras;WBasic;Rare
SSH;49;Lapras V;WBasic;Double Rare
SSH;50;Lapras VMAX;WVMAX;Double Rare
SSH;51;Qwilfish;WBasic;Uncommon
SSH;52;Mantine;WBasic;Uncommon
SSH;53;Keldeo V;WBasic;Double Rare
SSH;54;Sobble;WBasic;Common
SSH;55;Sobble;WBasic;Common
SSH;56;Drizzile;WStage 1;Uncommon
SSH;57;Drizzile;WStage 1;Uncommon
SSH;58;Inteleon;WStage 2;Holo Rare
SSH;59;Inteleon;WStage 2;Rare
SSH;60;Chewtle;WBasic;Common
SSH;61;Drednaw;WStage 1;Rare
SSH;62;Cramorant;WBasic;Rare
SSH;63;Snom;WBasic;Common
SSH;64;Frosmoth;WStage 1;Holo Rare
SSH;65;Pikachu;LBasic;Common
SSH;66;Raichu;LStage 1;Rare
SSH;67;Chinchou;LBasic;Common
SSH;68;Chinchou;LBasic;Common
SSH;69;Lanturn;LStage 1;Rare
SSH;70;Joltik;LBasic;Common
SSH;71;Galvantula;LStage 1;Uncommon
SSH;72;Tapu Koko V;LBasic;Double Rare
SSH;73;Yamper;LBasic;Common
SSH;74;Yamper;LBasic;Common
SSH;75;Boltund;LStage 1;Holo Rare
SSH;76;Boltund;LStage 1;Holo Rare
SSH;77;Pincurchin;LBasic;Common
SSH;78;Morpeko;LBasic;Rare
SSH;79;Morpeko V;LBasic;Double Rare
SSH;80;Morpeko VMAX;LVMAX;Double Rare
SSH;81;Galarian Ponyta;PBasic;Common
SSH;82;Galarian Rapidash;PStage 1;Rare
SSH;83;Gastly;PBasic;Common
SSH;84;Haunter;PStage 1;Uncommon
SSH;85;Gengar;PStage 2;Holo Rare
SSH;86;Wobbuffet V;PBasic;Double Rare
SSH;87;Munna;PBasic;Common
SSH;88;Musharna;PStage 1;Rare
SSH;89;Sinistea;PBasic;Common
SSH;90;Polteageist;PStage 1;Rare
SSH;91;Indeedee V;PBasic;Double Rare
SSH;92;Diglett;FBasic;Common
SSH;93;Dugtrio;FStage 1;Uncommon
SSH;94;Hitmonlee;FBasic;Uncommon
SSH;95;Hitmonchan;FBasic;Uncommon
SSH;96;Rhyhorn;FBasic;Common
SSH;97;Rhyhorn;FBasic;Common
SSH;98;Rhydon;FStage 1;Uncommon
SSH;99;Rhyperior;FStage 2;Holo Rare
SSH;100;Sudowoodo;FBasic;Uncommon
SSH;101;Baltoy;FBasic;Common
SSH;102;Baltoy;FBasic;Common
SSH;103;Claydol;FStage 1;Rare
SSH;104;Regirock V;FBasic;Double Rare
SSH;105;Mudbray;FBasic;Common
SSH;106;Mudsdale;FStage 1;Rare
SSH;107;Silicobra;FBasic;Common
SSH;108;Silicobra;FBasic;Common
SSH;109;Sandaconda;FStage 1;Rare
SSH;110;Sandaconda;FStage 1;Holo Rare
SSH;111;Clobbopus;FBasic;Common
SSH;112;Clobbopus;FBasic;Common
SSH;113;Grapploct;FStage 1;Rare
SSH;114;Stonjourner;FBasic;Rare
SSH;115;Stonjourner V;FBasic;Double Rare
SSH;116;Stonjourner VMAX;FVMAX;Double Rare
SSH;117;Galarian Zigzagoon;DBasic;Common
SSH;118;Galarian Linoone;DStage 1;Uncommon
SSH;119;Galarian Obstagoon;DStage 2;Holo Rare
SSH;120;Sableye V;DBasic;Double Rare
SSH;121;Skorupi;DBasic;Common
SSH;122;Drapion;DStage 1;Rare
SSH;123;Croagunk;DBasic;Common
SSH;124;Toxicroak;DStage 1;Holo Rare
SSH;125;Nickit;DBasic;Common
SSH;126;​Thievul;DStage 1;Rare
SSH;127;Galarian Meowth;MBasic;Common
SSH;128;Galarian Perrserker;MStage 1;Holo Rare
SSH;129;Mawile;MBasic;Common
SSH;130;Ferroseed;MBasic;Common
SSH;131;Ferrothorn;MStage 1;Uncommon
SSH;132;Galarian Stunfisk;MBasic;Uncommon
SSH;133;Pawniard;MBasic;Common
SSH;134;Bisharp;MStage 1;Uncommon
SSH;135;Corviknight;MStage 2;Rare
SSH;136;Cufant;MBasic;Common
SSH;137;Copperajah;MStage 1;Holo Rare
SSH;138;Zacian V;MBasic;Double Rare
SSH;139;Zamazenta V;MBasic;Double Rare
SSH;140;Snorlax;CBasic;Rare
SSH;141;Snorlax V;CBasic;Double Rare
SSH;142;Snorlax VMAX;CVMAX;Double Rare
SSH;143;Hoothoot;CBasic;Common
SSH;144;Noctowl;CStage 1;Rare
SSH;145;Minccino;CBasic;Common
SSH;146;Minccino;CBasic;Common
SSH;147;Cinccino;CStage 1;Rare
SSH;148;Oranguru;CBasic;Holo Rare
SSH;149;Drampa;CBasic;Rare
SSH;150;Rookidee;CBasic;Common
SSH;151;Corvisquire;CStage 1;Uncommon
SSH;152;Wooloo;CBasic;Common
SSH;153;Wooloo;CBasic;Common
SSH;154;Dubwool;CStage 1;Uncommon
SSH;155;Cramorant V;CBasic;Double Rare
SSH;156;Air Balloon;Tool;Uncommon
SSH;157;Bede;Supporter;Uncommon
SSH;158;Big Charm;Tool;Uncommon
SSH;159;Crushing Hammer;Item;Uncommon
SSH;160;Energy Retrieval;Item;Uncommon
SSH;161;Energy Search;Item;Uncommon
SSH;162;Energy Switch;Item;Uncommon
SSH;163;Evolution Incense;Item;Uncommon
SSH;164;Great Ball;Item;Uncommon
SSH;165;Hop;Supporter;Uncommon
SSH;166;Hyper Potion;Item;Uncommon
SSH;167;Lucky Egg;Tool;Uncommon
SSH;168;Lum Berry;Tool;Uncommon
SSH;169;Marnie;Supporter;Holo Rare
SSH;170;Metal Saucer;Item;Uncommon
SSH;171;Ordinary Rod;Item;Uncommon
SSH;172;Pal Pad;Item;Uncommon
SSH;173;Poké Kid;Supporter;Uncommon
SSH;174;Pokégear 3.0;Item;Uncommon
SSH;175;Pokémon Catcher;Item;Uncommon
SSH;176;Pokémon Center Lady;Supporter;Uncommon
SSH;177;Potion;Item;Uncommon
SSH;178;Professor's Research;Supporter;Holo Rare
SSH;179;Quick Ball;Item;Uncommon
SSH;180;Rare Candy;Item;Uncommon
SSH;181;Rotom Bike;Item;Uncommon
SSH;182;Sitrus Berry;Tool;Uncommon
SSH;183;Switch;Item;Uncommon
SSH;184;Team Yell Grunt;Supporter;Uncommon
SSH;185;Vitality Band;Tool;Uncommon
SSH;186;Aurora Energy;Special Energy;Uncommon
SSH;187;Dhelmise V;GBasic;Ultra Rare
SSH;188;Torkoal V;RBasic;Ultra Rare
SSH;189;Lapras V;WBasic;Ultra Rare
SSH;190;Morpeko V;LBasic;Ultra Rare
SSH;191;Wobbuffet V;PBasic;Ultra Rare
SSH;192;Indeedee V;PBasic;Ultra Rare
SSH;193;Stonjourner V;FBasic;Ultra Rare
SSH;194;Sableye V;DBasic;Ultra Rare
SSH;195;Zacian V;MBasic;Ultra Rare
SSH;196;Zamazenta V;MBasic;Ultra Rare
SSH;197;Snorlax V;CBasic;Ultra Rare
SSH;198;Cramorant V;CBasic;Ultra Rare
SSH;199;Bede;Supporter;Ultra Rare
SSH;200;Marnie;Supporter;Ultra Rare
SSH;201;Professor's Research;Supporter;Ultra Rare
SSH;202;Team Yell Grunt;Supporter;Ultra Rare
SSH;203;Lapras VMAX;WVMAX;Rainbow Rare
SSH;204;Morpeko VMAX;LVMAX;Rainbow Rare
SSH;205;Stonjourner VMAX;FVMAX;Rainbow Rare
SSH;206;Snorlax VMAX;CVMAX;Rainbow Rare
SSH;207;Bede;Supporter;Rainbow Rare
SSH;208;Marnie;Supporter;Rainbow Rare
SSH;209;Professor's Research;Supporter;Rainbow Rare
SSH;210;Team Yell Grunt;Supporter;Rainbow Rare
SSH;211;Zacian V;MBasic;Secret Rare
SSH;212;Zamazenta V;MBasic;Secret Rare
SSH;213;Air Balloon;Tool;Secret Rare
SSH;214;Metal Saucer;Item;Secret Rare
SSH;215;Ordinary Rod;Item;Secret Rare
SSH;216;Quick Ball;Item;Secret Rare
SSH;D;Darkness Energy;Basic Energy;
SSH;F;Fighting Energy;Basic Energy;
SSH;G;Grass Energy;Basic Energy;
SSH;L;Lightning Energy;Basic Energy;
SSH;M;Metal Energy;Basic Energy;
SSH;P;Psychic Energy;Basic Energy;
SSH;R;Fire Energy;Basic Energy;
SSH;W;Water Energy;Basic Energy;
RCL;1;Caterpie;GBasic;Common
RCL;2;Metapod;GStage 1;Uncommon
RCL;3;Butterfree;GStage 2;Rare
RCL;4;Scyther;GBasic;Common
RCL;5;Shuckle;GBasic;Uncommon
RCL;6;Heracross;GBasic;Uncommon
RCL;7;Lotad;GBasic;Common
RCL;8;Lombre;GStage 1;Uncommon
RCL;9;Ludicolo;GStage 2;Rare
RCL;10;Surskit;GBasic;Common
RCL;11;Masquerain;GStage 1;Uncommon
RCL;12;Snover;GBasic;Common
RCL;13;Abomasnow;GStage 1;Rare
RCL;14;Phantump;GBasic;Common
RCL;15;Trevenant;GStage 1;Rare
RCL;16;Grubbin;GBasic;Common
RCL;17;Rillaboom V;GBasic;Double Rare
RCL;18;Rillaboom VMAX;GVMAX;Double Rare
RCL;19;Eldegoss V;GBasic;Double Rare
RCL;20;Applin;GBasic;Common
RCL;21;Applin;GBasic;Common
RCL;22;Flapple;GStage 1;Holo Rare
RCL;23;Appletun;GStage 1;Holo Rare
RCL;24;Vulpix;RBasic;Common
RCL;25;Ninetales;RStage 1;Rare
RCL;26;Ninetales V;RBasic;Double Rare
RCL;27;Growlithe;RBasic;Common
RCL;28;Arcanine;RStage 1;Rare
RCL;29;Magmar;RBasic;Common
RCL;30;Magmortar;RStage 1;Rare
RCL;31;Litwick;RBasic;Common
RCL;32;Lampent;RStage 1;Uncommon
RCL;33;Chandelure;RStage 2;Holo Rare
RCL;34;Heatmor;RBasic;Uncommon
RCL;35;Cinderace V;RBasic;Double Rare
RCL;36;Cinderace VMAX;RVMAX;Double Rare
RCL;37;Galarian Mr. Mime;WBasic;Common
RCL;38;Galarian Mr. Rime;WStage 1;Rare
RCL;39;Magikarp;WBasic;Common
RCL;40;Gyarados;WStage 1;Holo Rare
RCL;41;Wingull;WBasic;Common
RCL;42;Pelipper;WStage 1;Uncommon
RCL;43;Milotic V;WBasic;Double Rare
RCL;44;Tympole;WBasic;Common
RCL;45;Palpitoad;WStage 1;Uncommon
RCL;46;Seismitoad;WStage 2;Rare
RCL;47;Galarian Darumaka;WBasic;Common
RCL;48;Galarian Darmanitan;WStage 1;Rare
RCL;49;Inteleon V;WBasic;Double Rare
RCL;50;Inteleon VMAX;WVMAX;Double Rare
RCL;51;Cramorant;WBasic;Rare
RCL;52;Arrokuda;WBasic;Common
RCL;53;Barraskewda;WStage 1;Rare
RCL;54;Eiscue;WBasic;Holo Rare
RCL;55;Eiscue V;WBasic;Double Rare
RCL;56;Voltorb;LBasic;Common
RCL;57;Electrode;LStage 1;Uncommon
RCL;58;Electabuzz;LBasic;Common
RCL;59;Electivire;LStage 1;Rare
RCL;60;Shinx;LBasic;Common
RCL;61;Luxio;LStage 1;Uncommon
RCL;62;Luxray;LStage 2;Holo Rare
RCL;63;Helioptile;LBasic;Common
RCL;64;Heliolisk;LStage 1;Uncommon
RCL;65;Charjabug;LStage 1;Uncommon
RCL;66;Vikavolt;LStage 2;Holo Rare
RCL;67;Boltund V;LBasic;Double Rare
RCL;68;Toxel;LBasic;Common
RCL;69;Toxtricity;LStage 1;Rare
RCL;70;Toxtricity V;LBasic;Double Rare
RCL;71;Toxtricity VMAX;LVMAX;Double Rare
RCL;72;Pincurchin V;LBasic;Double Rare
RCL;73;Morpeko;LBasic;Uncommon
RCL;74;Clefairy;PBasic;Common
RCL;75;Clefable;PStage 1;Holo Rare
RCL;76;Natu;PBasic;Common
RCL;77;Xatu;PStage 1;Uncommon
RCL;78;Galarian Corsola;PBasic;Common
RCL;79;Galarian Cursola;PStage 1;Holo Rare
RCL;80;Sigilyph;PBasic;Rare
RCL;81;Sandygast;PBasic;Common
RCL;82;Palossand;PStage 1;Uncommon
RCL;83;Hatenna;PBasic;Common
RCL;84;Hattrem;PStage 1;Uncommon
RCL;85;Hatterene;PStage 2;Holo Rare
RCL;86;Milcery;PBasic;Common
RCL;87;Alcremie;PStage 1;Rare
RCL;88;Indeedee;PBasic;Uncommon
RCL;89;Dreepy;PBasic;Common
RCL;90;Drakloak;PStage 1;Uncommon
RCL;91;Dragapult;PStage 2;Holo Rare
RCL;92;Dragapult V;PBasic;Double Rare
RCL;93;Dragapult VMAX;PVMAX;Double Rare
RCL;94;Galarian Farfetch'd;FBasic;Common
RCL;95;Galarian Sirfetch'd;FStage 1;Holo Rare
RCL;96;Nosepass;FBasic;Common
RCL;97;Meditite;FBasic;Common
RCL;98;Medicham;FStage 1;Uncommon
RCL;99;Barboach;FBasic;Common
RCL;100;Whiscash;FStage 1;Rare
RCL;101;Galarian Yamask;FBasic;Common
RCL;102;Galarian Runerigus;FStage 1;Rare
RCL;103;Binacle;FBasic;Common
RCL;104;Barbaracle;FStage 1;Rare
RCL;105;Rolycoly;FBasic;Common
RCL;106;Carkol;FStage 1;Uncommon
RCL;107;Coalossal;FStage 2;Holo Rare
RCL;108;Sandaconda V;FBasic;Double Rare
RCL;109;Falinks;FBasic;Uncommon
RCL;110;Falinks V;FBasic;Double Rare
RCL;111;Stonjourner;FBasic;Holo Rare
RCL;112;Koffing;DBasic;Common
RCL;113;Galarian Weezing;DStage 1;Holo Rare
RCL;114;Stunky;DBasic;Common
RCL;115;Skuntank;DStage 1;Uncommon
RCL;116;Spiritomb;DBasic;Rare
RCL;117;Trubbish;DBasic;Common
RCL;118;Garbodor;DStage 1;Rare
RCL;119;Vullaby;DBasic;Common
RCL;120;Mandibuzz;DStage 1;Rare
RCL;121;Malamar V;DBasic;Double Rare
RCL;122;Malamar VMAX;DVMAX;Double Rare
RCL;123;Impidimp;DBasic;Common
RCL;124;Morgrem;DStage 1;Uncommon
RCL;125;Grimmsnarl;DStage 2;Holo Rare
RCL;126;Galarian Meowth;MBasic;Common
RCL;127;Galarian Perrserker;MStage 1;Rare
RCL;128;Scizor;MStage 1;Rare
RCL;129;Bronzor;MBasic;Common
RCL;130;Bronzong;MStage 1;Uncommon
RCL;131;Probopass;MStage 1;Rare
RCL;132;Durant;MBasic;Uncommon
RCL;133;Honedge;MBasic;Common
RCL;134;Doublade;MStage 1;Uncommon
RCL;135;Aegislash;MStage 2;Rare
RCL;136;Copperajah V;MBasic;Double Rare
RCL;137;Copperajah VMAX;MVMAX;Double Rare
RCL;138;Duraludon;MBasic;Holo Rare
RCL;139;Zacian;MBasic;Rare
RCL;140;Zamazenta;MBasic;Rare
RCL;141;Snorlax;CBasic;Rare
RCL;142;Chatot;CBasic;Uncommon
RCL;143;Pidove;CBasic;Common
RCL;144;Tranquill;CStage 1;Uncommon
