Set	No.	Name	Type	Rarity	USD	EUR	Result	Hilfe
M3	46	Mega Zygarde ex	FBasic	Double Rare			Mega Zygarde ex M3 46	Mega Zygarde ex M3
M3	47	Gastly	DBasic	Common			Gastly M3 47	Gastly M3
M3	48	Haunter	DStage 1	Common			Haunter M3 48	Haunter M3
M3	49	Gengar	DStage 2	Uncommon			Gengar M3 49	Gengar M3
M3	50	Skorupi	DBasic	Common			Skorupi M3 50	Skorupi M3
M3	51	Drapion	DStage 1	Uncommon			Drapion M3 51	Drapion M3
M3	52	Yveltal ex	DBasic	Double Rare			Yveltal ex M3 52	Yveltal ex M3
M3	53	Chien-Pao	DBasic	Rare			Chien-Pao M3 53	Chien-Pao M3
M3	54	Mega Skarmory ex	MBasic	Double Rare			Mega Skarmory ex M3 54	Mega Skarmory ex M3
M3	55	Honedge	MBasic	Common			Honedge M3 55	Honedge M3
M3	56	Doublade	MStage 1	Common			Doublade M3 56	Doublade M3
M3	57	Aegislash	MStage 2	Uncommon			Aegislash M3 57	Aegislash M3
M3	58	Klefki	MBasic	Common			Klefki M3 58	Klefki M3
M3	59	Rattata	CBasic	Common			Rattata M3 59	Rattata M3
M3	60	Raticate	CStage 1	Uncommon			Raticate M3 60	Raticate M3
M3	61	Meowth ex	CBasic	Double Rare			Meowth ex M3 61	Meowth ex M3
M3	62	Snorlax	CBasic	Common			Snorlax M3 62	Snorlax M3
M3	63	Bunnelby	CBasic	Common			Bunnelby M3 63	Bunnelby M3
M3	64	Diggersby	CStage 1	Uncommon			Diggersby M3 64	Diggersby M3
M3	65	Fletchling	CBasic	Common			Fletchling M3 65	Fletchling M3
M3	66	Furfrou	CBasic	Common			Furfrou M3 66	Furfrou M3
M3	67	Energy Duster	Item	Uncommon			Energy Duster M3 67	Energy Duster M3
M3	68	Antique Jaw Fossil	Item	Common			Antique Jaw Fossil M3 68	Antique Jaw Fossil M3
M3	69	Antique Sail Fossil	Item	Common			Antique Sail Fossil M3 69	Antique Sail Fossil M3
M3	70	Poké Pad	Item	Uncommon			Poké Pad M3 70	Poké Pad M3
M3	71	Lumiose Galette	Item	Uncommon			Lumiose Galette M3 71	Lumiose Galette M3
M3	72	Core Memory	Tool	Uncommon			Core Memory M3 72	Core Memory M3
M3	73	Tarragon	Supporter	Uncommon			Tarragon M3 73	Tarragon M3
M3	74	Naveen	Supporter	Uncommon			Naveen M3 74	Naveen M3
M3	75	Rosa's Encouragement	Supporter	Uncommon			Rosa's Encouragement M3 75	Rosa's Encouragement M3
M3	76	Jacinthe	Supporter	Uncommon			Jacinthe M3 76	Jacinthe M3
M3	77	Lumiose City	Stadium	Uncommon			Lumiose City M3 77	Lumiose City M3
M3	78	Growth Grass Energy	Special Energy	Rare			Growth Grass Energy M3 78	Growth Grass Energy M3
M3	79	Telepath Psychic Energy	Special Energy	Rare			Telepath Psychic Energy M3 79	Telepath Psychic Energy M3
M3	80	Rock Fighting Energy	Special Energy	Rare			Rock Fighting Energy M3 80	Rock Fighting Energy M3
MC	1	Erika's Oddish	GBasic				Erika's Oddish MC 1	Erika's Oddish MC
MC	2	Erika's Gloom	GStage 1				Erika's Gloom MC 2	Erika's Gloom MC
MC	3	Erika's Vileplume ex	GStage 2				Erika's Vileplume ex MC 3	Erika's Vileplume ex MC
MC	4	Paras	GBasic				Paras MC 4	Paras MC
MC	5	Parasect	GStage 1				Parasect MC 5	Parasect MC
MC	6	Erika's Bellsprout	GBasic				Erika's Bellsprout MC 6	Erika's Bellsprout MC
MC	7	Erika's Weepinbell	GStage 1				Erika's Weepinbell MC 7	Erika's Weepinbell MC
MC	8	Erika's Victreebel	GStage 2				Erika's Victreebel MC 8	Erika's Victreebel MC
MC	9	Exeggcute	GBasic				Exeggcute MC 9	Exeggcute MC
MC	10	Exeggcute	GBasic				Exeggcute MC 10	Exeggcute MC
MC	11	Exeggutor	GStage 1				Exeggutor MC 11	Exeggutor MC
MC	12	Tangela	GBasic				Tangela MC 12	Tangela MC
MC	13	Tangrowth	GStage 1				Tangrowth MC 13	Tangrowth MC
MC	14	Erika's Tangela	GBasic				Erika's Tangela MC 14	Erika's Tangela MC
MC	15	Scyther	GBasic				Scyther MC 15	Scyther MC
MC	16	Chikorita	GBasic				Chikorita MC 16	Chikorita MC
MC	17	Bayleef	GStage 1				Bayleef MC 17	Bayleef MC
MC	18	Mega Meganium ex	GStage 2				Mega Meganium ex MC 18	Mega Meganium ex MC
MC	19	Ledyba	GBasic				Ledyba MC 19	Ledyba MC
MC	20	Ledian	GStage 1				Ledian MC 20	Ledian MC
MC	21	Yanma	GBasic				Yanma MC 21	Yanma MC
MC	22	Yanmega ex	GStage 1				Yanmega ex MC 22	Yanmega ex MC
MC	23	Shuckle	GBasic				Shuckle MC 23	Shuckle MC
MC	24	Heracross	GBasic				Heracross MC 24	Heracross MC
MC	25	Celebi	GBasic				Celebi MC 25	Celebi MC
MC	26	Shroomish	GBasic				Shroomish MC 26	Shroomish MC
MC	27	Shroomish	GBasic				Shroomish MC 27	Shroomish MC
MC	28	Breloom	GStage 1				Breloom MC 28	Breloom MC
MC	29	Breloom	GStage 1				Breloom MC 29	Breloom MC
MC	30	Roselia	GBasic				Roselia MC 30	Roselia MC
MC	31	Roserade	GStage 1				Roserade MC 31	Roserade MC
MC	32	Cynthia's Roselia	GBasic				Cynthia's Roselia MC 32	Cynthia's Roselia MC
MC	33	Cynthia's Roserade	GStage 1				Cynthia's Roserade MC 33	Cynthia's Roserade MC
MC	34	Turtwig	GBasic				Turtwig MC 34	Turtwig MC
MC	35	Grotle	GStage 1				Grotle MC 35	Grotle MC
MC	36	Torterra ex	GStage 2				Torterra ex MC 36	Torterra ex MC
MC	37	Leafeon	GStage 1				Leafeon MC 37	Leafeon MC
MC	38	Leafeon ex	GStage 1				Leafeon ex MC 38	Leafeon ex MC
MC	39	Shaymin	GBasic				Shaymin MC 39	Shaymin MC
MC	40	Snivy	GBasic				Snivy MC 40	Snivy MC
MC	41	Servine	GStage 1				Servine MC 41	Servine MC
MC	42	Serperior ex	GStage 2				Serperior ex MC 42	Serperior ex MC
MC	43	Cottonee	GBasic				Cottonee MC 43	Cottonee MC
MC	44	Whimsicott ex	GStage 1				Whimsicott ex MC 44	Whimsicott ex MC
MC	45	Dwebble	GBasic				Dwebble MC 45	Dwebble MC
MC	46	Crustle	GStage 1				Crustle MC 46	Crustle MC
MC	47	Karrablast	GBasic				Karrablast MC 47	Karrablast MC
MC	48	Foongus	GBasic				Foongus MC 48	Foongus MC
MC	49	Amoonguss	GStage 1				Amoonguss MC 49	Amoonguss MC
MC	50	Galvantula	GStage 1				Galvantula MC 50	Galvantula MC
MC	51	Durant	GBasic				Durant MC 51	Durant MC
MC	52	Durant ex	GBasic				Durant ex MC 52	Durant ex MC
MC	53	Virizion	GBasic				Virizion MC 53	Virizion MC
MC	54	Virizion	GBasic				Virizion MC 54	Virizion MC
MC	55	Phantump	GBasic				Phantump MC 55	Phantump MC
MC	56	Trevenant	GStage 1				Trevenant MC 56	Trevenant MC
MC	57	Grubbin	GBasic				Grubbin MC 57	Grubbin MC
MC	58	Morelull	GBasic				Morelull MC 58	Morelull MC
MC	59	Shiinotic	GStage 1				Shiinotic MC 59	Shiinotic MC
MC	60	Dhelmise	GBasic				Dhelmise MC 60	Dhelmise MC
MC	61	Tapu Bulu	GBasic				Tapu Bulu MC 61	Tapu Bulu MC
MC	62	Applin	GBasic				Applin MC 62	Applin MC
MC	63	Dipplin	GStage 1				Dipplin MC 63	Dipplin MC
MC	64	Hydrapple ex	GStage 2				Hydrapple ex MC 64	Hydrapple ex MC
MC	65	Sprigatito	GBasic				Sprigatito MC 65	Sprigatito MC
MC	66	Floragato	GStage 1				Floragato MC 66	Floragato MC
MC	67	Meowscarada	GStage 2				Meowscarada MC 67	Meowscarada MC
MC	68	Sprigatito ex	GBasic				Sprigatito ex MC 68	Sprigatito ex MC
MC	69	Smoliv	GBasic				Smoliv MC 69	Smoliv MC
MC	70	Dolliv	GStage 1				Dolliv MC 70	Dolliv MC
MC	71	Arboliva ex	GStage 2				Arboliva ex MC 71	Arboliva ex MC
MC	72	Bramblin	GBasic				Bramblin MC 72	Bramblin MC
MC	73	Brambleghast	GStage 1				Brambleghast MC 73	Brambleghast MC
MC	74	Toedscool	GBasic				Toedscool MC 74	Toedscool MC
MC	75	Toedscruel	GStage 1				Toedscruel MC 75	Toedscruel MC
MC	76	Capsakid	GBasic				Capsakid MC 76	Capsakid MC
MC	77	Iron Leaves ex	GBasic				Iron Leaves ex MC 77	Iron Leaves ex MC
MC	78	Poltchageist	GBasic				Poltchageist MC 78	Poltchageist MC
MC	79	Sinistcha ex	GStage 1				Sinistcha ex MC 79	Sinistcha ex MC
MC	80	Teal Mask Ogerpon	GBasic				Teal Mask Ogerpon MC 80	Teal Mask Ogerpon MC
MC	81	Teal Mask Ogerpon	GBasic				Teal Mask Ogerpon MC 81	Teal Mask Ogerpon MC
MC	82	Teal Mask Ogerpon ex	GBasic				Teal Mask Ogerpon ex MC 82	Teal Mask Ogerpon ex MC
MC	83	Charmander	RBasic				Charmander MC 83	Charmander MC
MC	84	Charmeleon	RStage 1				Charmeleon MC 84	Charmeleon MC
MC	85	Mega Charizard Y ex	RStage 2				Mega Charizard Y ex MC 85	Mega Charizard Y ex MC
MC	86	Ponyta	RBasic				Ponyta MC 86	Ponyta MC
MC	87	Ponyta	RBasic				Ponyta MC 87	Ponyta MC
MC	88	Rapidash	RStage 1				Rapidash MC 88	Rapidash MC
MC	89	Rapidash	RStage 1				Rapidash MC 89	Rapidash MC
MC	90	Rapidash	RStage 1				Rapidash MC 90	Rapidash MC
MC	91	Magmar	RBasic				Magmar MC 91	Magmar MC
MC	92	Magmortar	RStage 1				Magmortar MC 92	Magmortar MC
MC	93	Paldean Tauros	RBasic				Paldean Tauros MC 93	Paldean Tauros MC
MC	94	Flareon ex	RStage 1				Flareon ex MC 94	Flareon ex MC
MC	95	Slugma	RBasic				Slugma MC 95	Slugma MC
MC	96	Magcargo ex	RStage 1				Magcargo ex MC 96	Magcargo ex MC
MC	97	Houndour	RBasic				Houndour MC 97	Houndour MC
MC	98	Houndoom	RStage 1				Houndoom MC 98	Houndoom MC
MC	99	Team Rocket's Houndour	RBasic				Team Rocket's Houndour MC 99	Team Rocket's Houndour MC
MC	100	Team Rocket's Houndoom	RStage 1				Team Rocket's Houndoom MC 100	Team Rocket's Houndoom MC
MC	101	Torkoal	RBasic				Torkoal MC 101	Torkoal MC
MC	102	Castform Sunny Form	RBasic				Castform Sunny Form MC 102	Castform Sunny Form MC
MC	103	Chimchar	RBasic				Chimchar MC 103	Chimchar MC
MC	104	Monferno	RStage 1				Monferno MC 104	Monferno MC
MC	105	Infernape	RStage 2				Infernape MC 105	Infernape MC
MC	106	Victini	RBasic				Victini MC 106	Victini MC
MC	107	Victini	RBasic				Victini MC 107	Victini MC
MC	108	Tepig	RBasic				Tepig MC 108	Tepig MC
MC	109	Tepig	RBasic				Tepig MC 109	Tepig MC
MC	110	Pignite	RStage 1				Pignite MC 110	Pignite MC
MC	111	Pignite	RStage 1				Pignite MC 111	Pignite MC
MC	112	Emboar	RStage 2				Emboar MC 112	Emboar MC
MC	113	Mega Emboar ex	RStage 2				Mega Emboar ex MC 113	Mega Emboar ex MC
MC	114	Pansear	RBasic				Pansear MC 114	Pansear MC
MC	115	Simisear	RStage 1				Simisear MC 115	Simisear MC
MC	116	Darumaka	RBasic				Darumaka MC 116	Darumaka MC
MC	117	Darmanitan	RStage 1				Darmanitan MC 117	Darmanitan MC
MC	118	N's Darumaka	RBasic				N's Darumaka MC 118	N's Darumaka MC
MC	119	N's Darmanitan	RStage 1				N's Darmanitan MC 119	N's Darmanitan MC
MC	120	Heatmor	RBasic				Heatmor MC 120	Heatmor MC
MC	121	Larvesta	RBasic				Larvesta MC 121	Larvesta MC
MC	122	Volcarona	RStage 1				Volcarona MC 122	Volcarona MC
MC	123	Volcarona	RStage 1				Volcarona MC 123	Volcarona MC
MC	124	Volcarona	RStage 1				Volcarona MC 124	Volcarona MC
MC	125	Reshiram	RBasic				Reshiram MC 125	Reshiram MC
MC	126	Reshiram ex	RBasic				Reshiram ex MC 126	Reshiram ex MC
MC	127	Litleo	RBasic				Litleo MC 127	Litleo MC
MC	128	Pyroar	RStage 1				Pyroar MC 128	Pyroar MC
MC	129	Volcanion ex	RBasic				Volcanion ex MC 129	Volcanion ex MC
MC	130	Litten	RBasic				Litten MC 130	Litten MC
MC	131	Torracat	RStage 1				Torracat MC 131	Torracat MC
MC	132	Incineroar ex	RStage 2				Incineroar ex MC 132	Incineroar ex MC
MC	133	Oricorio	RBasic				Oricorio MC 133	Oricorio MC
MC	134	Salandit	RBasic				Salandit MC 134	Salandit MC
MC	135	Salazzle	RStage 1				Salazzle MC 135	Salazzle MC
MC	136	Turtonator	RBasic				Turtonator MC 136	Turtonator MC
MC	137	Scorbunny	RBasic				Scorbunny MC 137	Scorbunny MC
MC	138	Raboot	RStage 1				Raboot MC 138	Raboot MC
MC	139	Cinderace ex	RStage 2				Cinderace ex MC 139	Cinderace ex MC
MC	140	Sizzlipede	RBasic				Sizzlipede MC 140	Sizzlipede MC
MC	141	Centiskorch	RStage 1				Centiskorch MC 141	Centiskorch MC
MC	142	Fuecoco	RBasic				Fuecoco MC 142	Fuecoco MC
MC	143	Crocalor	RStage 1				Crocalor MC 143	Crocalor MC
MC	144	Skeledirge	RStage 2				Skeledirge MC 144	Skeledirge MC
MC	145	Charcadet	RBasic				Charcadet MC 145	Charcadet MC
MC	146	Armarouge ex	RStage 1				Armarouge ex MC 146	Armarouge ex MC
MC	147	Scovillain ex	RStage 1				Scovillain ex MC 147	Scovillain ex MC
MC	148	Hearthflame Mask Ogerpon	RBasic				Hearthflame Mask Ogerpon MC 148	Hearthflame Mask Ogerpon MC
MC	149	Hearthflame Mask Ogerpon ex	RBasic				Hearthflame Mask Ogerpon ex MC 149	Hearthflame Mask Ogerpon ex MC
MC	150	Gouging Fire	RBasic				Gouging Fire MC 150	Gouging Fire MC
MC	151	Gouging Fire ex	RBasic				Gouging Fire ex MC 151	Gouging Fire ex MC
MC	152	Horsea	WBasic				Horsea MC 152	Horsea MC
MC	153	Seadra	WStage 1				Seadra MC 153	Seadra MC
MC	154	Kingdra ex	WStage 2				Kingdra ex MC 154	Kingdra ex MC
MC	155	Misty's Staryu	WBasic				Misty's Staryu MC 155	Misty's Staryu MC
MC	156	Misty's Starmie	WStage 1				Misty's Starmie MC 156	Misty's Starmie MC
MC	157	Misty's Magikarp	WBasic				Misty's Magikarp MC 157	Misty's Magikarp MC
MC	158	Misty's Gyarados	WStage 1				Misty's Gyarados MC 158	Misty's Gyarados MC
MC	159	Lapras	WBasic				Lapras MC 159	Lapras MC
MC	160	Misty's Lapras	WBasic				Misty's Lapras MC 160	Misty's Lapras MC
MC	161	Vaporeon ex	WStage 1				Vaporeon ex MC 161	Vaporeon ex MC
MC	162	Glaceon ex	WStage 1				Glaceon ex MC 162	Glaceon ex MC
MC	163	Articuno	WBasic				Articuno MC 163	Articuno MC
MC	164	Totodile	WBasic				Totodile MC 164	Totodile MC
MC	165	Totodile	WBasic				Totodile MC 165	Totodile MC
MC	166	Croconaw	WStage 1				Croconaw MC 166	Croconaw MC
MC	167	Croconaw	WStage 1				Croconaw MC 167	Croconaw MC
MC	168	Feraligatr	WStage 2				Feraligatr MC 168	Feraligatr MC
MC	169	Mega Feraligatr ex	WStage 2				Mega Feraligatr ex MC 169	Mega Feraligatr ex MC
MC	170	Sneasel	WBasic				Sneasel MC 170	Sneasel MC
MC	171	Weavile	WStage 1				Weavile MC 171	Weavile MC
MC	172	Mantine	WBasic				Mantine MC 172	Mantine MC
MC	173	Mantine	WBasic				Mantine MC 173	Mantine MC
MC	174	Suicune	WBasic				Suicune MC 174	Suicune MC
MC	175	Lotad	WBasic				Lotad MC 175	Lotad MC
MC	176	Lombre	WStage 1				Lombre MC 176	Lombre MC
MC	177	Ludicolo	WStage 2				Ludicolo MC 177	Ludicolo MC
MC	178	Carvanha	WBasic				Carvanha MC 178	Carvanha MC
MC	179	Sharpedo	WStage 1				Sharpedo MC 179	Sharpedo MC
MC	180	Wailmer	WBasic				Wailmer MC 180	Wailmer MC
MC	181	Wailord	WStage 1				Wailord MC 181	Wailord MC
MC	182	Corphish	WBasic				Corphish MC 182	Corphish MC
MC	183	Crawdaunt	WStage 1				Crawdaunt MC 183	Crawdaunt MC
MC	184	Feebas	WBasic				Feebas MC 184	Feebas MC
MC	185	Milotic ex	WStage 1				Milotic ex MC 185	Milotic ex MC
MC	186	Snorunt	WBasic				Snorunt MC 186	Snorunt MC
MC	187	Glalie	WStage 1				Glalie MC 187	Glalie MC
MC	188	Spheal	WBasic				Spheal MC 188	Spheal MC
MC	189	Sealeo	WStage 1				Sealeo MC 189	Sealeo MC
MC	190	Walrein	WStage 2				Walrein MC 190	Walrein MC
MC	191	Regice	WBasic				Regice MC 191	Regice MC
MC	192	Regice ex	WBasic				Regice ex MC 192	Regice ex MC
MC	193	Buizel	WBasic				Buizel MC 193	Buizel MC
MC	194	Floatzel	WStage 1				Floatzel MC 194	Floatzel MC
MC	195	Finneon	WBasic				Finneon MC 195	Finneon MC
MC	196	Lumineon	WStage 1				Lumineon MC 196	Lumineon MC
MC	197	Ducklett	WBasic				Ducklett MC 197	Ducklett MC
MC	198	Swanna	WStage 1				Swanna MC 198	Swanna MC
MC	199	Vanillite	WBasic				Vanillite MC 199	Vanillite MC
MC	200	Vanillish	WStage 1				Vanillish MC 200	Vanillish MC
MC	201	Vanilluxe	WStage 2				Vanilluxe MC 201	Vanilluxe MC
MC	202	Cryogonal	WBasic				Cryogonal MC 202	Cryogonal MC
MC	203	Kyurem ex	WBasic				Kyurem ex MC 203	Kyurem ex MC
MC	204	Black Kyurem ex	WBasic				Black Kyurem ex MC 204	Black Kyurem ex MC
MC	205	Keldeo ex	WBasic				Keldeo ex MC 205	Keldeo ex MC
MC	206	Froakie	WBasic				Froakie MC 206	Froakie MC
MC	207	Frogadier	WStage 1				Frogadier MC 207	Frogadier MC
MC	208	Greninja ex	WStage 2				Greninja ex MC 208	Greninja ex MC
MC	209	Crabominable	WStage 1				Crabominable MC 209	Crabominable MC
MC	210	Cramorant	WBasic				Cramorant MC 210	Cramorant MC
MC	211	Quaxly	WBasic				Quaxly MC 211	Quaxly MC
MC	212	Quaxwell	WStage 1				Quaxwell MC 212	Quaxwell MC
MC	213	Quaquaval	WStage 2				Quaquaval MC 213	Quaquaval MC
MC	214	Finizen	WBasic				Finizen MC 214	Finizen MC
MC	215	Palafin	WStage 1				Palafin MC 215	Palafin MC
MC	216	Palafin ex	WStage 1				Palafin ex MC 216	Palafin ex MC
MC	217	Cetoddle	WBasic				Cetoddle MC 217	Cetoddle MC
MC	218	Cetitan	WStage 1				Cetitan MC 218	Cetitan MC
MC	219	Veluza	WBasic				Veluza MC 219	Veluza MC
MC	220	Dondozo ex	WBasic				Dondozo ex MC 220	Dondozo ex MC
MC	221	Walking Wake	WBasic				Walking Wake MC 221	Walking Wake MC
MC	222	Walking Wake ex	WBasic				Walking Wake ex MC 222	Walking Wake ex MC
MC	223	Wellspring Mask Ogerpon	WBasic				Wellspring Mask Ogerpon MC 223	Wellspring Mask Ogerpon MC
MC	224	Wellspring Mask Ogerpon ex	WBasic				Wellspring Mask Ogerpon ex MC 224	Wellspring Mask Ogerpon ex MC
MC	225	Pikachu	LBasic				Pikachu MC 225	Pikachu MC
MC	226	Raichu	LStage 1				Raichu MC 226	Raichu MC
MC	227	Pikachu ex	LBasic				Pikachu ex MC 227	Pikachu ex MC
MC	228	Alolan Geodude	LBasic				Alolan Geodude MC 228	Alolan Geodude MC
MC	229	Alolan Graveler	LStage 1				Alolan Graveler MC 229	Alolan Graveler MC
MC	230	Alolan Golem	LStage 2				Alolan Golem MC 230	Alolan Golem MC
MC	231	Magnemite	LBasic				Magnemite MC 231	Magnemite MC
MC	232	Magneton	LStage 1				Magneton MC 232	Magneton MC
MC	233	Voltorb ex	LBasic				Voltorb ex MC 233	Voltorb ex MC
MC	234	Iono's Voltorb	LBasic				Iono's Voltorb MC 234	Iono's Voltorb MC
MC	235	Iono's Electrode	LStage 1				Iono's Electrode MC 235	Iono's Electrode MC
MC	236	Electabuzz	LBasic				Electabuzz MC 236	Electabuzz MC
MC	237	Electivire ex	LStage 1				Electivire ex MC 237	Electivire ex MC
MC	238	Jolteon ex	LStage 1				Jolteon ex MC 238	Jolteon ex MC
MC	239	Zapdos	LBasic				Zapdos MC 239	Zapdos MC
MC	240	Zapdos	LBasic				Zapdos MC 240	Zapdos MC
MC	241	Ethan's Pichu	LBasic				Ethan's Pichu MC 241	Ethan's Pichu MC
MC	242	Electrike	LBasic				Electrike MC 242	Electrike MC
MC	243	Manectric	LStage 1				Manectric MC 243	Manectric MC
MC	244	Shinx	LBasic				Shinx MC 244	Shinx MC
MC	245	Luxio	LStage 1				Luxio MC 245	Luxio MC
MC	246	Luxray ex	LStage 2				Luxray ex MC 246	Luxray ex MC
MC	247	Pachirisu	LBasic				Pachirisu MC 247	Pachirisu MC
MC	248	Rotom	LBasic				Rotom MC 248	Rotom MC
MC	249	Blitzle	LBasic				Blitzle MC 249	Blitzle MC
MC	250	Blitzle	LBasic				Blitzle MC 250	Blitzle MC
MC	251	Zebstrika	LStage 1				Zebstrika MC 251	Zebstrika MC
MC	252	Zebstrika	LStage 1				Zebstrika MC 252	Zebstrika MC
MC	253	Emolga	LBasic				Emolga MC 253	Emolga MC
MC	254	Joltik	LBasic				Joltik MC 254	Joltik MC
MC	255	Galvantula ex	LStage 1				Galvantula ex MC 255	Galvantula ex MC
MC	256	Tynamo	LBasic				Tynamo MC 256	Tynamo MC
MC	257	Eelektrik	LStage 1				Eelektrik MC 257	Eelektrik MC
MC	258	Thundurus	LBasic				Thundurus MC 258	Thundurus MC
MC	259	Zekrom ex	LBasic				Zekrom ex MC 259	Zekrom ex MC
MC	260	Helioptile	LBasic				Helioptile MC 260	Helioptile MC
MC	261	Heliolisk	LStage 1				Heliolisk MC 261	Heliolisk MC
MC	262	Charjabug	LStage 1				Charjabug MC 262	Charjabug MC
MC	263	Vikavolt	LStage 2				Vikavolt MC 263	Vikavolt MC
MC	264	Togedemaru	LBasic				Togedemaru MC 264	Togedemaru MC
MC	265	Tapu Koko	LBasic				Tapu Koko MC 265	Tapu Koko MC
MC	266	Zeraora	LBasic				Zeraora MC 266	Zeraora MC
MC	267	Zeraora	LBasic				Zeraora MC 267	Zeraora MC
MC	268	Yamper	LBasic				Yamper MC 268	Yamper MC
MC	269	Boltund	LStage 1				Boltund MC 269	Boltund MC
MC	270	Morpeko	LBasic				Morpeko MC 270	Morpeko MC
MC	271	Tadbulb	LBasic				Tadbulb MC 271	Tadbulb MC
MC	272	Bellibolt	LStage 1				Bellibolt MC 272	Bellibolt MC
MC	273	Iono's Tadbulb	LBasic				Iono's Tadbulb MC 273	Iono's Tadbulb MC
MC	274	Iono's Bellibolt ex	LStage 1				Iono's Bellibolt ex MC 274	Iono's Bellibolt ex MC
MC	275	Wattrel	LBasic				Wattrel MC 275	Wattrel MC
MC	276	Kilowattrel	LStage 1				Kilowattrel MC 276	Kilowattrel MC
MC	277	Kilowattrel	LStage 1				Kilowattrel MC 277	Kilowattrel MC
MC	278	Iono's Wattrel	LBasic				Iono's Wattrel MC 278	Iono's Wattrel MC
MC	279	Iono's Kilowattrel	LStage 1				Iono's Kilowattrel MC 279	Iono's Kilowattrel MC
MC	280	Iron Hands	LBasic				Iron Hands MC 280	Iron Hands MC
MC	281	Iron Thorns	LBasic				Iron Thorns MC 281	Iron Thorns MC
MC	282	Iron Thorns ex	LBasic				Iron Thorns ex MC 282	Iron Thorns ex MC
MC	283	Miraidon	LBasic				Miraidon MC 283	Miraidon MC
MC	284	Miraidon ex	LBasic				Miraidon ex MC 284	Miraidon ex MC
MC	285	Clefairy	PBasic				Clefairy MC 285	Clefairy MC
MC	286	Clefable	PStage 1				Clefable MC 286	Clefable MC
MC	287	Lillie's Clefairy ex	PBasic				Lillie's Clefairy ex MC 287	Lillie's Clefairy ex MC
