tournament_id;tournament_name;tournament_date;players;format;cards_url;total_cards;status
452;Special Event Lima – Limitless (10 decks);5th October 2024;308;BRS-SCR;https://limitlesstcg.com/tournaments/452/cards;321;success
450;Regional Dortmund – Limitless (26 decks);28th September 2024;1815;BRS-SCR;https://limitlesstcg.com/tournaments/450/cards;940;success
451;Regional Joinville – Limitless (14 decks);28th September 2024;578;BRS-SCR;https://limitlesstcg.com/tournaments/451/cards;510;success
449;Regional Baltimore, MD – Limitless (25 decks);14th September 2024;2307;BRS-SFA;https://limitlesstcg.com/tournaments/449/cards;856;success
420;World Championships 2024 – Limitless (16 decks);16th August 2024;1147;BRS-SFA;https://limitlesstcg.com/tournaments/420/cards;597;success
464;Malaysia Championships 2024 – Limitless (15 decks);29th June 2024;702;BRS-TWM;https://limitlesstcg.com/tournaments/464/cards;435;success
406;NAIC 2024, New Orleans – Limitless (23 decks);7th June 2024;2692;BRS-TWM;https://limitlesstcg.com/tournaments/406/cards;876;success
448;Indonesia Championships 2024 – Limitless (8 decks);1st June 2024;479;BRS-TEF;https://limitlesstcg.com/tournaments/448/cards;235;success
423;Special Event Bologna – Limitless (23 decks);1st June 2024;1008;BRS-TEF;https://limitlesstcg.com/tournaments/423/cards;748;success
444;Japan Championships 2024 – Limitless (8 decks);1st June 2024;2078;SVI-TWI;https://limitlesstcg.com/tournaments/444/cards;227;success
429;Special Event Cape Town – Limitless (6 decks);1st June 2024;51;BRS-TEF;https://limitlesstcg.com/tournaments/429/cards;156;success
440;Special Event Mexico City – Limitless (10 decks);25th May 2024;252;BRS-TEF;https://limitlesstcg.com/tournaments/440/cards;277;success
428;Special Event Johannesburg – Limitless (5 decks);25th May 2024;80;BRS-TEF;https://limitlesstcg.com/tournaments/428/cards;145;success
403;Regional Los Angeles, CA – Limitless (24 decks);25th May 2024;2073;BRS-TEF;https://limitlesstcg.com/tournaments/403/cards;880;success
441;Special Event Lima – Limitless (6 decks);25th May 2024;145;BRS-TEF;https://limitlesstcg.com/tournaments/441/cards;159;success
447;Philippines Championships 2024 – Limitless (8 decks);25th May 2024;336;BRS-TEF;https://limitlesstcg.com/tournaments/447/cards;242;success
425;Regional Santiago – Limitless (16 decks);18th May 2024;892;BRS-TEF;https://limitlesstcg.com/tournaments/425/cards;514;success
446;Singapore Championships 2024 – Limitless (4 decks);18th May 2024;343;BRS-TEF;https://limitlesstcg.com/tournaments/446/cards;120;success
439;Special Event Bogotá – Limitless (3 decks);12th May 2024;130;BRS-TEF;https://limitlesstcg.com/tournaments/439/cards;85;success
437;Special Event Puerto Rico – Limitless (6 decks);11th May 2024;180;BRS-TEF;https://limitlesstcg.com/tournaments/437/cards;161;success
443;Thailand Championships 2024 – Limitless (11 decks);11th May 2024;561;SVI-TWI;https://limitlesstcg.com/tournaments/443/cards;359;success
411;Regional Stockholm – Limitless (18 decks);11th May 2024;675;BRS-TEF;https://limitlesstcg.com/tournaments/411/cards;589;success
492;Korean League Final Season – Limitless (7 decks);5th May 2024;351;BRS-TEF;https://limitlesstcg.com/tournaments/492/cards;197;success
402;Regional Indianapolis, IN – Limitless (25 decks);4th May 2024;2342;BRS-TEF;https://limitlesstcg.com/tournaments/402/cards;843;success
438;Special Event Buenos Aires – Limitless (3 decks);4th May 2024;160;BRS-TEF;https://limitlesstcg.com/tournaments/438/cards;91;success
419;Regional São Paulo – Limitless (21 decks);20th April 2024;1142;BRS-TEF;https://limitlesstcg.com/tournaments/419/cards;672;success
409;Regional Perth – Limitless (12 decks);13th April 2024;257;BRS-TEF;https://limitlesstcg.com/tournaments/409/cards;351;success
401;Regional Orlando, FL – Limitless (28 decks);13th April 2024;2369;BRS-TEF;https://limitlesstcg.com/tournaments/401/cards;1041;success
491;Korean League Season 3 – Limitless (10 decks);6th April 2024;273;BRS-TEF;https://limitlesstcg.com/tournaments/491/cards;262;success
405;EUIC 2024, London – Limitless (26 decks);5th April 2024;2605;BRS-TEF;https://limitlesstcg.com/tournaments/405/cards;1008;success
400;Regional Vancouver – Limitless (22 decks);23rd March 2024;985;BST-PAR;https://limitlesstcg.com/tournaments/400/cards;733;success
418;Regional Goiânia – Limitless (17 decks);9th March 2024;536;BST-PAR;https://limitlesstcg.com/tournaments/418/cards;538;success
399;Special Event Utrecht – Limitless (26 decks);2nd March 2024;860;BST-PAR;https://limitlesstcg.com/tournaments/399/cards;826;success
490;Korean League Season 2 – Limitless (8 decks);17th February 2024;255;BST-PAR;https://limitlesstcg.com/tournaments/490/cards;221;success
398;Regional Dortmund – Limitless (26 decks);10th February 2024;1348;BST-PAR;https://limitlesstcg.com/tournaments/398/cards;864;success
397;Regional Knoxville, TN – Limitless (20 decks);3rd February 2024;1367;BST-PAR;https://limitlesstcg.com/tournaments/397/cards;656;success
408;Regional Melbourne – Limitless (15 decks);3rd February 2024;531;BST-PAR;https://limitlesstcg.com/tournaments/408/cards;453;success
396;Regional Liverpool – Limitless (25 decks);27th January 2024;1518;BST-PAR;https://limitlesstcg.com/tournaments/396/cards;850;success
395;Regional Charlotte, NC – Limitless (22 decks);20th January 2024;2133;BST-PAR;https://limitlesstcg.com/tournaments/395/cards;777;success
394;Regional Portland, OR – Limitless (25 decks);6th January 2024;1498;BST-PAR;https://limitlesstcg.com/tournaments/394/cards;868;success
421;Korean League Season 1 – Limitless (10 decks);30th December 2023;350;SVI-PAR;https://limitlesstcg.com/tournaments/421/cards;302;success
393;Regional San Antonio, TX – Limitless (24 decks);16th December 2023;1985;BST-PAR;https://limitlesstcg.com/tournaments/393/cards;865;success
392;Regional Stuttgart – Limitless (21 decks);9th December 2023;982;BST-PAR;https://limitlesstcg.com/tournaments/392/cards;701;success
391;Regional Gdańsk – Limitless (23 decks);25th November 2023;997;BST-PAR;https://limitlesstcg.com/tournaments/391/cards;741;success
407;Regional Brisbane – Limitless (16 decks);25th November 2023;388;BST-PAR;https://limitlesstcg.com/tournaments/407/cards;498;success
404;LAIC 2023–24, São Paulo – Limitless (19 decks);17th November 2023;1263;BST-PAR;https://limitlesstcg.com/tournaments/404/cards;660;success
389;Regional Toronto – Limitless (21 decks);28th October 2023;1543;BST-OBF;https://limitlesstcg.com/tournaments/389/cards;683;success
388;Regional Lille – Limitless (21 decks);21st October 2023;855;BST-OBF;https://limitlesstcg.com/tournaments/388/cards;656;success
387;Regional Sacramento, CA – Limitless (25 decks);14th October 2023;1427;BST-OBF;https://limitlesstcg.com/tournaments/387/cards;800;success
386;Regional Peoria, IL – Limitless (21 decks);7th October 2023;1703;BST-OBF;https://limitlesstcg.com/tournaments/386/cards;715;success
385;Regional Curitiba – Limitless (14 decks);23rd September 2023;379;BST-OBF;https://limitlesstcg.com/tournaments/385/cards;391;success
384;Special Event Barcelona – Limitless (15 decks);16th September 2023;577;BST-OBF;https://limitlesstcg.com/tournaments/384/cards;449;success
383;Regional Pittsburgh, PA – Limitless (19 decks);9th September 2023;1778;BST-OBF;https://limitlesstcg.com/tournaments/383/cards;636;success
