Set	No.	Code	Type	Rarity	USD	EUR	Result	Set Count	Hilfe	Type vereinfacht
SP	38	Kangaskhan	CBasic		$11.37	17.40€	Kangaskhan SP 38	110	Kangaskhan SP	Pokémon
SP	39	Pikachu	LBasic		$4.17	6.63€	Pikachu SP 39	110	Pikachu SP	Pokémon
SP	40	Hatenna	PBasic		$0.39	1.07€	Hatenna SP 40	110	Hatenna SP	Pokémon
SP	41	Flareon	RStage 1		$4.30	5.16€	Flareon SP 41	110	Flareon SP	Pokémon
SP	42	Eevee	CBasic		$4.13	5.68€	Eevee SP 42	110	Eevee SP	Pokémon
SP	43	Galarian Sirfetch'd V	FBasic		$0.93	2.25€	Galarian Sirfetch'd V SP 43	110	Galarian Sirfetch'd V SP	Pokémon
SP	44	Eternatus V	DBasic		$1.72	3.81€	Eternatus V SP 44	110	Eternatus V SP	Pokémon
SP	45	Eternatus VMAX	DVMAX		$2.59	5.50€	Eternatus VMAX SP 45	110	Eternatus VMAX SP	Pokémon
SP	46	Eldegoss	GStage 1		$0.73	0.52€	Eldegoss SP 46	110	Eldegoss SP	Pokémon
SP	47	Drednaw	WStage 1		$0.94	0.62€	Drednaw SP 47	110	Drednaw SP	Pokémon
SP	48	Centiskorch	RStage 1		$1.01	0.46€	Centiskorch SP 48	110	Centiskorch SP	Pokémon
SP	49	Dubwool V	CBasic		$0.49	0.68€	Dubwool V SP 49	110	Dubwool V SP	Pokémon
SP	50	Charizard V	RBasic		$7.11	10.24€	Charizard V SP 50	110	Charizard V SP	Pokémon
SP	51	Lapras	WBasic		$2.12	0.95€	Lapras SP 51	110	Lapras SP	Pokémon
SP	52	Gengar	PStage 2		$36.63	28.92€	Gengar SP 52	110	Gengar SP	Pokémon
SP	53	Machamp	FStage 2		$0.93	0.87€	Machamp SP 53	110	Machamp SP	Pokémon
SP	54	Coalossal	FStage 2		$0.81	0.69€	Coalossal SP 54	110	Coalossal SP	Pokémon
SP	55	Hatterene V	PBasic		$0.52	1.47€	Hatterene V SP 55	110	Hatterene V SP	Pokémon
SP	56	Morpeko V	LBasic		$0.85	1.23€	Morpeko V SP 56	110	Morpeko V SP	Pokémon
SP	57	Grimmsnarl V	DBasic		$0.87	0.85€	Grimmsnarl V SP 57	110	Grimmsnarl V SP	Pokémon
SP	58	Alcremie	PStage 1		$2.32	1.74€	Alcremie SP 58	110	Alcremie SP	Pokémon
SP	59	Galarian Obstagoon	DStage 2		$1.23	1.96€	Galarian Obstagoon SP 59	110	Galarian Obstagoon SP	Pokémon
SP	60	Duraludon	MBasic		$1.64	1.50€	Duraludon SP 60	110	Duraludon SP	Pokémon
SP	61	Pikachu V	LBasic		$0.84	0.97€	Pikachu V SP 61	110	Pikachu V SP	Pokémon
SP	62	Pikachu VMAX	LVMAX		$8.24	6.84€	Pikachu VMAX SP 62	110	Pikachu VMAX SP	Pokémon
SP	63	Pikachu V	LBasic		$2.63	5.95€	Pikachu V SP 63	110	Pikachu V SP	Pokémon
SP	64	Eternatus V	DBasic		$1.26	2.77€	Eternatus V SP 64	110	Eternatus V SP	Pokémon
SP	65	Eevee V	CBasic		$3.42	6.70€	Eevee V SP 65	110	Eevee V SP	Pokémon
SP	66	Charizard	RStage 2		$37.78	60.69€	Charizard SP 66	110	Charizard SP	Pokémon
SP	67	Donphan	FStage 1		$3.76	8.32€	Donphan SP 67	110	Donphan SP	Pokémon
SP	68	Snorlax	CBasic		$13.65	23.46€	Snorlax SP 68	110	Snorlax SP	Pokémon
SP	69	Lugia	CBasic		$16.72	42.35€	Lugia SP 69	110	Lugia SP	Pokémon
SP	70	Grookey	GBasic		$0.40	0.91€	Grookey SP 70	110	Grookey SP	Pokémon
SP	71	Scorbunny	RBasic		$0.42	1.40€	Scorbunny SP 71	110	Scorbunny SP	Pokémon
SP	72	Vaporeon	WStage 1		$2.66	4.65€	Vaporeon SP 72	110	Vaporeon SP	Pokémon
SP	73	Sobble	WBasic		$0.66	0.70€	Sobble SP 73	110	Sobble SP	Pokémon
SP	76	Zacian V	MBasic		$5.20	6.59€	Zacian V SP 76	110	Zacian V SP	Pokémon
SP	77	Zamazenta V	MBasic		$4.41	6.30€	Zamazenta V SP 77	110	Zamazenta V SP	Pokémon
SP	78	Orbeetle V	GBasic		$0.52	1.86€	Orbeetle V SP 78	110	Orbeetle V SP	Pokémon
SP	79	Galarian Mr. Rime	WStage 1		$0.49	0.44€	Galarian Mr. Rime SP 79	110	Galarian Mr. Rime SP	Pokémon
SP	80	Dedenne	PBasic		$0.68	0.33€	Dedenne SP 80	110	Dedenne SP	Pokémon
SP	81	Polteageist	PStage 1		$0.44	0.58€	Polteageist SP 81	110	Polteageist SP	Pokémon
SP	82	Bunnelby	CBasic		$0.54	0.45€	Bunnelby SP 82	110	Bunnelby SP	Pokémon
SP	83	Alakazam V	PBasic		$1.15	1.13€	Alakazam V SP 83	110	Alakazam V SP	Pokémon
SP	84	Eldegoss V	GBasic		$0.57	1.11€	Eldegoss V SP 84	110	Eldegoss V SP	Pokémon
SP	85	Boltund V	LBasic		$0.55	1.37€	Boltund V SP 85	110	Boltund V SP	Pokémon
SP	86	Cramorant V	CBasic		$0.57	1.21€	Cramorant V SP 86	110	Cramorant V SP	Pokémon
SP	87	Eevee VMAX	CVMAX		$3.60	3.67€	Eevee VMAX SP 87	110	Eevee VMAX SP	Pokémon
SP	88	Cherrim	GStage 1		$7.25	10.23€	Cherrim SP 88	110	Cherrim SP	Pokémon
SP	89	Octillery	WStage 1		$3.41	7.75€	Octillery SP 89	110	Octillery SP	Pokémon
SP	90	Houndoom	DStage 1		$5.89	14.15€	Houndoom SP 90	110	Houndoom SP	Pokémon
SP	91	Bronzong	MStage 1		$3.04	9.19€	Bronzong SP 91	110	Bronzong SP	Pokémon
SP	92	Charmander	RBasic		$0.87	4.47€	Charmander SP 92	110	Charmander SP	Pokémon
SP	93	Arrokuda	WBasic		$0.22	0.68€	Arrokuda SP 93	110	Arrokuda SP	Pokémon
SP	94	Jolteon	LStage 1		$2.10	2.69€	Jolteon SP 94	110	Jolteon SP	Pokémon
SP	95	Eevee	CBasic		$1.37	2.19€	Eevee SP 95	110	Eevee SP	Pokémon
SP	96	Dragapult V	PBasic		$1.72	2.25€	Dragapult V SP 96	110	Dragapult V SP	Pokémon
SP	97	Dragapult VMAX	PVMAX		$2.27	2.25€	Dragapult VMAX SP 97	110	Dragapult VMAX SP	Pokémon
SP	98	Crobat V	DBasic		$1.26	2.02€	Crobat V SP 98	110	Crobat V SP	Pokémon
SP	99	Crobat VMAX	DVMAX		$1.98	2.55€	Crobat VMAX SP 99	110	Crobat VMAX SP	Pokémon
SP	100	Venusaur V	GBasic		$3.99	4.62€	Venusaur V SP 100	110	Venusaur V SP	Pokémon
SP	101	Blastoise V	WBasic		$4.96	6.12€	Blastoise V SP 101	110	Blastoise V SP	Pokémon
SP	102	Venusaur VMAX	GVMAX		$15.42	10.32€	Venusaur VMAX SP 102	110	Venusaur VMAX SP	Pokémon
SP	103	Blastoise VMAX	WVMAX		$32.20	14.36€	Blastoise VMAX SP 103	110	Blastoise VMAX SP	Pokémon
SP	104	Victini V	RBasic		$0.86	2.04€	Victini V SP 104	110	Victini V SP	Pokémon
SP	105	Gardevoir V	PBasic		$1.28	1.82€	Gardevoir V SP 105	110	Gardevoir V SP	Pokémon
SP	106	Single Strike Urshifu V	FBasic		$0.58	1.10€	Single Strike Urshifu V SP 106	110	Single Strike Urshifu V SP	Pokémon
SP	107	Rapid Strike Urshifu V	FBasic		$0.74	1.44€	Rapid Strike Urshifu V SP 107	110	Rapid Strike Urshifu V SP	Pokémon
SP	108	Empoleon V	WBasic		$0.68	1.59€	Empoleon V SP 108	110	Empoleon V SP	Pokémon
SP	109	Tyranitar V	DBasic		$0.55	1.02€	Tyranitar V SP 109	110	Tyranitar V SP	Pokémon
SP	110	Crobat V	DBasic		$0.72	1.38€	Crobat V SP 110	110	Crobat V SP	Pokémon
SP	111	Galarian Rapidash V	PBasic		$1.48	1.27€	Galarian Rapidash V SP 111	110	Galarian Rapidash V SP	Pokémon
SP	112	Cinderace	RStage 2		$1.41	6.05€	Cinderace SP 112	110	Cinderace SP	Pokémon
SP	113	Inteleon	WStage 2		$1.56	11.14€	Inteleon SP 113	110	Inteleon SP	Pokémon
SP	114	Cresselia	PBasic		$1.41	3.97€	Cresselia SP 114	110	Cresselia SP	Pokémon
SP	115	Passimian	FBasic		$0.87	3.24€	Passimian SP 115	110	Passimian SP	Pokémon
SP	116	Morpeko	LBasic		$0.62	1.01€	Morpeko SP 116	110	Morpeko SP	Pokémon
SP	117	Phanpy	FBasic		$0.32	0.50€	Phanpy SP 117	110	Phanpy SP	Pokémon
SP	118	Eevee	CBasic		$1.59	1.69€	Eevee SP 118	110	Eevee SP	Pokémon
SP	119	Snorlax	CBasic		$1.45	0.77€	Snorlax SP 119	110	Snorlax SP	Pokémon
SP	120	Marnie	Supporter		$2.05	0.76€	Marnie SP 120	110	Marnie SP	Supporter
SP	121	Marnie	Supporter		$26.25	11.83€	Marnie SP 121	110	Marnie SP	Supporter
SP	122	Flaaffy	LStage 1		$3.48	7.65€	Flaaffy SP 122	110	Flaaffy SP	Pokémon
SP	123	Galarian Articuno	PBasic		$5.45	15.56€	Galarian Articuno SP 123	110	Galarian Articuno SP	Pokémon
SP	124	Galarian Zapdos	FBasic		$4.59	12.67€	Galarian Zapdos SP 124	110	Galarian Zapdos SP	Pokémon
SP	125	Galarian Moltres	DBasic		$8.31	36.09€	Galarian Moltres SP 125	110	Galarian Moltres SP	Pokémon
SP	126	Galarian Slowpoke	PBasic		$1.98	1.05€	Galarian Slowpoke SP 126	110	Galarian Slowpoke SP	Pokémon
SP	127	Eevee	CBasic		$1.11	2.08€	Eevee SP 127	110	Eevee SP	Pokémon
SP	128	Eiscue	WBasic		$0.40	0.16€	Eiscue SP 128	110	Eiscue SP	Pokémon
SP	129	Umbreon	DStage 1		$9.80	5.30€	Umbreon SP 129	110	Umbreon SP	Pokémon
SP	130	Ice Rider Calyrex V	WBasic		$0.85	1.07€	Ice Rider Calyrex V SP 130	110	Ice Rider Calyrex V SP	Pokémon
SP	131	Shadow Rider Calyrex V	PBasic		$0.96	0.83€	Shadow Rider Calyrex V SP 131	110	Shadow Rider Calyrex V SP	Pokémon
SP	132	Dragapult	PStage 2		$4.73	4.37€	Dragapult SP 132	110	Dragapult SP	Pokémon
SP	133	Lance's Charizard V	RBasic		$7.20	12.85€	Lance's Charizard V SP 133	110	Lance's Charizard V SP	Pokémon
SP	134	Dark Sylveon V	PBasic		$7.43	8.71€	Dark Sylveon V SP 134	110	Dark Sylveon V SP	Pokémon
SP	135	Zacian LV.X	MLevel Up		$3.98	1.01€	Zacian LV.X SP 135	110	Zacian LV.X SP	Pokémon
SP	136	Mimikyu	WBasic		$10.39	3.73€	Mimikyu SP 136	110	Mimikyu SP	Pokémon
SP	137	Light Toxtricity	LStage 1		$3.29	1.14€	Light Toxtricity SP 137	110	Light Toxtricity SP	Pokémon
SP	138	Hydreigon C	DBasic		$0.68	1.85€	Hydreigon C SP 138	110	Hydreigon C SP	Pokémon
SP	139	Pikachu V-UNION	LV-UNION		$2.61	5.94€	Pikachu V-UNION SP 139	110	Pikachu V-UNION SP	Pokémon
SP	140	Pikachu V-UNION	LV-UNION		$2.36	3.67€	Pikachu V-UNION SP 140	110	Pikachu V-UNION SP	Pokémon
SP	141	Pikachu V-UNION	LV-UNION		$3.93	3.61€	Pikachu V-UNION SP 141	110	Pikachu V-UNION SP	Pokémon
SP	142	Pikachu V-UNION	LV-UNION		$3.21	4.28€	Pikachu V-UNION SP 142	110	Pikachu V-UNION SP	Pokémon
SP	143	Pikachu V	LBasic		$3.28	4.93€	Pikachu V SP 143	110	Pikachu V SP	Pokémon
SP	144	Greninja Star	DBasic		$12.71	20.65€	Greninja Star SP 144	110	Greninja Star SP	Pokémon
SP	145	Pikachu V	LBasic		$67.02	38.97€	Pikachu V SP 145	110	Pikachu V SP	Pokémon
SP	146	Poké Ball	Item		$17.29	18.71€	Poké Ball SP 146	110	Poké Ball SP	Item
SP	147	Rayquaza V	NBasic		$5.49	2.99€	Rayquaza V SP 147	110	Rayquaza V SP	Pokémon
SP	148	Noivern V	NBasic		$1.65	1.33€	Noivern V SP 148	110	Noivern V SP	Pokémon
SP	149	Flareon V	RBasic		$2.83	3.97€	Flareon V SP 149	110	Flareon V SP	Pokémon
SP	150	Vaporeon V	WBasic		$4.61	3.45€	Vaporeon V SP 150	110	Vaporeon V SP	Pokémon
SP	151	Jolteon V	LBasic		$2.98	2.85€	Jolteon V SP 151	110	Jolteon V SP	Pokémon
SP	152	Professor's Research	Supporter		$3.64	2.46€	Professor's Research SP 152	110	Professor's Research SP	Supporter
SP	153	Pikachu	LBasic			4.86€	Pikachu SP 153	110	Pikachu SP	Pokémon
SP	154	Dragonite V	NBasic		$2.27	2.15€	Dragonite V SP 154	110	Dragonite V SP	Pokémon
SP	155	Greninja V-UNION	WV-UNION		$2.78	4.00€	Greninja V-UNION SP 155	110	Greninja V-UNION SP	Pokémon
SP	156	Greninja V-UNION	WV-UNION		$3.48	2.73€	Greninja V-UNION SP 156	110	Greninja V-UNION SP	Pokémon
SP	157	Greninja V-UNION	WV-UNION		$4.47	3.08€	Greninja V-UNION SP 157	110	Greninja V-UNION SP	Pokémon
SP	158	Greninja V-UNION	WV-UNION		$3.70	2.62€	Greninja V-UNION SP 158	110	Greninja V-UNION SP	Pokémon
SP	159	Mewtwo V-UNION	PV-UNION		$6.21	13.86€	Mewtwo V-UNION SP 159	110	Mewtwo V-UNION SP	Pokémon
SP	160	Mewtwo V-UNION	PV-UNION		$6.35	6.57€	Mewtwo V-UNION SP 160	110	Mewtwo V-UNION SP	Pokémon
SP	161	Mewtwo V-UNION	PV-UNION		$6.56	6.39€	Mewtwo V-UNION SP 161	110	Mewtwo V-UNION SP	Pokémon
SP	162	Mewtwo V-UNION	PV-UNION		$7.22	6.27€	Mewtwo V-UNION SP 162	110	Mewtwo V-UNION SP	Pokémon
SP	163	Zacian V-UNION	MV-UNION		$2.02	4.52€	Zacian V-UNION SP 163	110	Zacian V-UNION SP	Pokémon
SP	164	Zacian V-UNION	MV-UNION		$2.15	1.80€	Zacian V-UNION SP 164	110	Zacian V-UNION SP	Pokémon
SP	165	Zacian V-UNION	MV-UNION		$2.11	1.85€	Zacian V-UNION SP 165	110	Zacian V-UNION SP	Pokémon
SP	166	Zacian V-UNION	MV-UNION		$3.43	1.97€	Zacian V-UNION SP 166	110	Zacian V-UNION SP	Pokémon
SP	167	Professor Burnet	Supporter		$0.17	0.30€	Professor Burnet SP 167	110	Professor Burnet SP	Supporter
SP	168	Oricorio	RBasic		$0.78	2.63€	Oricorio SP 168	110	Oricorio SP	Pokémon
SP	169	Pyukumuku	WBasic		$0.88	6.17€	Pyukumuku SP 169	110	Pyukumuku SP	Pokémon
SP	170	Deoxys	PBasic		$1.98	6.67€	Deoxys SP 170	110	Deoxys SP	Pokémon
SP	171	Latias	NBasic		$2.53	7.94€	Latias SP 171	110	Latias SP	Pokémon
SP	172	Tepig	RBasic		$0.41	0.66€	Tepig SP 172	110	Tepig SP	Pokémon
SP	173	Blitzle	LBasic		$0.29	0.51€	Blitzle SP 173	110	Blitzle SP	Pokémon
SP	174	Espeon	PStage 1		$5.57	4.12€	Espeon SP 174	110	Espeon SP	Pokémon
SP	175	Eevee	CBasic		$3.33	2.33€	Eevee SP 175	110	Eevee SP	Pokémon
SP	176	Hoopa V	DBasic		$0.59	0.73€	Hoopa V SP 176	110	Hoopa V SP	Pokémon
SP	178	Professor's Research	Supporter		$0.41	0.27€	Professor's Research SP 178	110	Professor's Research SP	Supporter
SP	179	Flareon V	RBasic		$52.54	61.43€	Flareon V SP 179	110	Flareon V SP	Pokémon
SP	180	Flareon VMAX	RVMAX		$53.24	115.25€	Flareon VMAX SP 180	110	Flareon VMAX SP	Pokémon
SP	181	Vaporeon V	WBasic		$53.88	75.38€	Vaporeon V SP 181	110	Vaporeon V SP	Pokémon
SP	182	Vaporeon VMAX	WVMAX		$66.56	163.91€	Vaporeon VMAX SP 182	110	Vaporeon VMAX SP	Pokémon
SP	183	Jolteon V	LBasic		$42.83	60.98€	Jolteon V SP 183	110	Jolteon V SP	Pokémon
SP	184	Jolteon VMAX	LVMAX		$49.78	61.84€	Jolteon VMAX SP 184	110	Jolteon VMAX SP	Pokémon
SP	185	Moltres	RBasic		$8.35	4.09€	Moltres SP 185	110	Moltres SP	Pokémon
SP	186	Lucario	FStage 1		$1.79	8.39€	Lucario SP 186	110	Lucario SP	Pokémon
SP	187	Liepard	DStage 1		$0.72	1.81€	Liepard SP 187	110	Liepard SP	Pokémon
SP	188	Bibarel	CStage 1		$0.83	1.79€	Bibarel SP 188	110	Bibarel SP	Pokémon
SP	189	Flapple	NStage 1		$0.23	0.16€	Flapple SP 189	110	Flapple SP	Pokémon
SP	190	Eevee	CBasic		$1.36	1.51€	Eevee SP 190	110	Eevee SP	Pokémon
SP	191	Leafeon	GStage 1		$1.86	1.06€	Leafeon SP 191	110	Leafeon SP	Pokémon
SP	192	Glaceon	WStage 1		$1.93	0.87€	Glaceon SP 192	110	Glaceon SP	Pokémon
SP	194	Leafeon V	GBasic		$1.50	2.11€	Leafeon V SP 194	110	Leafeon V SP	Pokémon
SP	195	Leafeon VSTAR	GVSTAR		$1.57	2.53€	Leafeon VSTAR SP 195	110	Leafeon VSTAR SP	Pokémon
SP	196	Glaceon V	WBasic		$1.50	2.10€	Glaceon V SP 196	110	Glaceon V SP	Pokémon
SP	197	Glaceon VSTAR	WVSTAR		$1.99	2.58€	Glaceon VSTAR SP 197	110	Glaceon VSTAR SP	Pokémon
SP	198	Pikachu V	LBasic		$1.31	1.11€	Pikachu V SP 198	110	Pikachu V SP	Pokémon
SP	199	Lycanroc V	FBasic		$0.89	2.00€	Lycanroc V SP 199	110	Lycanroc V SP	Pokémon
SP	200	Corviknight V	MBasic		$0.82	1.64€	Corviknight V SP 200	110	Corviknight V SP	Pokémon
SP	201	Espeon V	PBasic		$1.62	1.72€	Espeon V SP 201	110	Espeon V SP	Pokémon
SP	202	Sylveon V	PBasic		$2.33	2.43€	Sylveon V SP 202	110	Sylveon V SP	Pokémon
SP	203	Umbreon V	DBasic		$2.84	4.09€	Umbreon V SP 203	110	Umbreon V SP	Pokémon
SP	204	Arceus V	CBasic		$16.54	11.26€	Arceus V SP 204	110	Arceus V SP	Pokémon
SP	205	Hisuian Basculegion	WStage 1		$0.52	0.64€	Hisuian Basculegion SP 205	110	Hisuian Basculegion SP	Pokémon
SP	206	Wyrdeer	PStage 1		$0.48	1.42€	Wyrdeer SP 206	110	Wyrdeer SP	Pokémon
SP	207	Hisuian Samurott	DStage 2		$0.47	1.49€	Hisuian Samurott SP 207	110	Hisuian Samurott SP	Pokémon
SP	208	Magnezone	MStage 2		$0.36	2.45€	Magnezone SP 208	110	Magnezone SP	Pokémon
SP	209	Toxel	LBasic		$0.25	0.51€	Toxel SP 209	110	Toxel SP	Pokémon
SP	210	Oricorio	PBasic		$0.34	0.32€	Oricorio SP 210	110	Oricorio SP	Pokémon
SP	211	Sylveon	PStage 1		$4.37	0.65€	Sylveon SP 211	110	Sylveon SP	Pokémon
SP	212	Eevee	CBasic		$1.60	0.51€	Eevee SP 212	110	Eevee SP	Pokémon
SP	213	Lucario V	FBasic		$1.33	2.49€	Lucario V SP 213	110	Lucario V SP	Pokémon
SP	214	Lucario VSTAR	FVSTAR		$1.29	1.91€	Lucario VSTAR SP 214	110	Lucario VSTAR SP	Pokémon
SP	215	Morpeko V-UNION	LV-UNION		$0.53	1.18€	Morpeko V-UNION SP 215	110	Morpeko V-UNION SP	Pokémon
SP	216	Morpeko V-UNION	LV-UNION		$0.49	0.90€	Morpeko V-UNION SP 216	110	Morpeko V-UNION SP	Pokémon
SP	217	Morpeko V-UNION	LV-UNION		$0.53	1.03€	Morpeko V-UNION SP 217	110	Morpeko V-UNION SP	Pokémon
SP	218	Morpeko V-UNION	LV-UNION		$0.61	0.92€	Morpeko V-UNION SP 218	110	Morpeko V-UNION SP	Pokémon
SP	219	Boltund V	LBasic		$0.52	0.76€	Boltund V SP 219	110	Boltund V SP	Pokémon
SP	220	Rowlet	GBasic		$0.27	0.38€	Rowlet SP 220	110	Rowlet SP	Pokémon
SP	221	Cyndaquil	RBasic		$0.42	0.56€	Cyndaquil SP 221	110	Cyndaquil SP	Pokémon
SP	222	Oshawott	WBasic		$0.26	0.34€	Oshawott SP 222	110	Oshawott SP	Pokémon
SP	223	Mewtwo V	PBasic		$3.53	6.84€	Mewtwo V SP 223	110	Mewtwo V SP	Pokémon
SP	224	Melmetal V	MBasic		$0.79	2.63€	Melmetal V SP 224	110	Melmetal V SP	Pokémon
SP	225	Alolan Exeggutor V	GBasic		$0.49	0.40€	Alolan Exeggutor V SP 225	110	Alolan Exeggutor V SP	Pokémon
SP	226	Spark	Supporter		$1.52	1.66€	Spark SP 226	110	Spark SP	Supporter
SP	227	Blanche	Supporter		$1.79	2.11€	Blanche SP 227	110	Blanche SP	Supporter
SP	228	Candela	Supporter		$1.43	1.58€	Candela SP 228	110	Candela SP	Supporter
SP	229	Mewtwo V	PBasic		$3.66	3.98€	Mewtwo V SP 229	110	Mewtwo V SP	Pokémon
SP	230	Radiant Eevee	CBasic		$13.02	9.27€	Radiant Eevee SP 230	110	Radiant Eevee SP	Pokémon
SP	231	Bulbasaur	GBasic		$3.34	1.67€	Bulbasaur SP 231	110	Bulbasaur SP	Pokémon
SP	232	Charmander	RBasic		$4.08	2.67€	Charmander SP 232	110	Charmander SP	Pokémon
SP	233	Squirtle	WBasic		$4.07	2.66€	Squirtle SP 233	110	Squirtle SP	Pokémon
SP	234	Pikachu	LBasic		$1.92	0.76€	Pikachu SP 234	110	Pikachu SP	Pokémon
SP	235	Dragonite V	NBasic		$1.69	2.02€	Dragonite V SP 235	110	Dragonite V SP	Pokémon
SP	236	Dragonite VSTAR	NVSTAR		$1.67	2.50€	Dragonite VSTAR SP 236	110	Dragonite VSTAR SP	Pokémon
SP	237	Hisuian Typhlosion V	PBasic		$0.79	1.08€	Hisuian Typhlosion V SP 237	110	Hisuian Typhlosion V SP	Pokémon
SP	238	Hisuian Decidueye V	FBasic		$0.58	0.83€	Hisuian Decidueye V SP 238	110	Hisuian Decidueye V SP	Pokémon
SP	239	Hisuian Samurott V	DBasic		$0.67	0.84€	Hisuian Samurott V SP 239	110	Hisuian Samurott V SP	Pokémon
SP	240	Finneon	WBasic		$0.36	0.99€	Finneon SP 240	110	Finneon SP	Pokémon
SP	241	Gengar	PStage 2		$8.16	8.07€	Gengar SP 241	110	Gengar SP	Pokémon
SP	242	Comfey	PBasic		$0.56	1.33€	Comfey SP 242	110	Comfey SP	Pokémon
SP	243	Machamp	FStage 2		$0.91	0.02€	Machamp SP 243	110	Machamp SP	Pokémon
SP	244	Scorbunny	RBasic		$0.32	0.26€	Scorbunny SP 244	110	Scorbunny SP	Pokémon
SP	245	Croagunk	DBasic		$0.23	0.15€	Croagunk SP 245	110	Croagunk SP	Pokémon
SP	246	Weavile	DStage 1		$0.37	0.21€	Weavile SP 246	110	Weavile SP	Pokémon
SP	247	Regigigas	CBasic		$0.50	0.16€	Regigigas SP 247	110	Regigigas SP	Pokémon
SP	248	Kleavor V	FBasic		$0.69	1.14€	Kleavor V SP 248	110	Kleavor V SP	Pokémon
SP	249	Kleavor VSTAR	FVSTAR		$0.60	0.78€	Kleavor VSTAR SP 249	110	Kleavor VSTAR SP	Pokémon
SP	250	Lumineon V	WBasic		$0.75	0.97€	Lumineon V SP 250	110	Lumineon V SP	Pokémon
